t,e,tk,ts,pp,ls,ti,lp,pc,c,ft,o,h,l,ap,v,oi,poi,bp1,sp1,bq1,sq1,received_timestamp
tk,NFO,79529,NIFTY24APR25C24000,2,75,0.05,164.00,36.67,120.00,1745209404,140.00,175.90,121.55,147.99,60708225,9174075,5590050,164.00,164.25,525,525,2025-04-21 09:53:24.027
tf,NFO,79529,,,,,163.40,36.17,,1745209404,,,,,,,,,,,,2025-04-21 09:53:24.369
tf,NFO,79529,,,,,163.15,35.96,,1745209405,,,,,,,,,,,,2025-04-21 09:53:25.371
tf,NFO,79529,,,,,,,,1745209405,,,,148.01,60782325,,,163.30,163.55,300,675,2025-04-21 09:53:25.615
tf,NFO,79529,,,,,162.45,35.38,,1745209406,,,,,,,,,,,,2025-04-21 09:53:26.443
tf,NFO,79529,,,,,163.40,36.17,,1745209407,,,,148.02,60827250,,,162.80,163.15,450,450,2025-04-21 09:53:27.251
tf,NFO,79529,,,,,162.75,35.62,,1745209407,,,,,,,,,,,,2025-04-21 09:53:27.452
tf,NFO,79529,,,,,161.75,34.79,,1745209408,,,,,,,,,,,,2025-04-21 09:53:28.456
tf,NFO,79529,,,,,161.55,34.62,,1745209409,,,,148.03,60852450,,,161.20,161.55,75,300,2025-04-21 09:53:28.879
tf,NFO,79529,,,,,161.25,34.38,,1745209409,,,,,,,,,,,,2025-04-21 09:53:29.576
tf,NFO,79529,,,,,162.30,35.25,,1745209410,,,,,,,,,,,,2025-04-21 09:53:30.373
tf,NFO,79529,,,,,162.55,35.46,,1745209410,,,,,60888450,,,162.50,162.70,825,75,2025-04-21 09:53:30.621
tf,NFO,79529,,,,,162.25,35.21,,1745209411,,,,,,,,,,,,2025-04-21 09:53:31.378
tf,NFO,79529,,,,,163.15,35.96,,1745209412,,,,148.04,60909075,,,162.80,163.15,375,300,2025-04-21 09:53:32.236
tf,NFO,79529,,,,,162.60,35.50,,1745209412,,,,,,,,,,,,2025-04-21 09:53:32.381
tf,NFO,79529,,,,,162.00,35.00,,1745209413,,,,,,,,,,,,2025-04-21 09:53:33.404
tf,NFO,79529,,,,,161.80,34.83,,1745209414,,,,,60926400,,,161.55,161.75,,75,2025-04-21 09:53:33.838
tf,NFO,79529,,,,,162.80,35.67,,1745209414,,,,,,,,,,,,2025-04-21 09:53:34.374
tf,NFO,79529,,,,,162.00,35.00,,1745209415,,,,,,,,,,,,2025-04-21 09:53:35.377
tf,NFO,79529,,,,,161.70,34.75,,1745209415,,,,148.05,60945975,,,161.85,162.15,75,375,2025-04-21 09:53:35.641
tf,NFO,79529,,,,,162.40,35.33,,1745209416,,,,,,,,,,,,2025-04-21 09:53:36.377
tf,NFO,79529,,,,,163.20,36.00,,1745209417,,,,,60957825,,,162.85,163.20,375,225,2025-04-21 09:53:37.025
tf,NFO,79529,,,,,162.85,35.71,,1745209417,,,,,,,,,,,,2025-04-21 09:53:37.376
tf,NFO,79529,,,,,163.60,36.33,,1745209418,,,,,,,,,,,,2025-04-21 09:53:38.379
tf,NFO,79529,,,,,,,,1745209419,,,,,60976350,,,163.30,163.70,75,750,2025-04-21 09:53:38.868
tf,NFO,79529,,,,,163.40,36.17,,1745209419,,,,,,,,,,,,2025-04-21 09:53:39.476
tf,NFO,79529,,,,,164.60,37.17,,1745209420,,,,,,,,,,,,2025-04-21 09:53:40.422
tf,NFO,79529,,,,,,,,1745209420,,,,148.06,60999525,,,164.35,164.60,525,75,2025-04-21 09:53:40.567
tf,NFO,79529,,,,,165.00,37.50,,1745209421,,,,,,,,,,,,2025-04-21 09:53:41.385
tf,NFO,79529,,,,,164.35,36.96,,1745209422,,,,148.07,61041900,,,164.00,164.40,975,1275,2025-04-21 09:53:42.032
tf,NFO,79529,,,,,164.50,37.08,,1745209422,,,,,,,,,,,,2025-04-21 09:53:42.394
tf,NFO,79529,,,,,162.85,35.71,,1745209423,,,,,,,,,,,,2025-04-21 09:53:43.383
