t,e,tk,ts,pp,ls,ti,lp,pc,c,ft,o,h,l,ap,v,oi,poi,bp1,sp1,bq1,sq1,received_timestamp
tk,NFO,79508,NIFTY24APR25P23650,2,75,0.05,51.65,-56.72,119.35,1745209403,104.20,104.20,47.80,65.61,7357575,1493700,672450,51.75,51.90,825,750,2025-04-21 09:53:24.007
tf,NFO,79508,,,,,51.95,-56.47,,1745209404,,,,65.59,7367925,,,51.95,52.10,525,975,2025-04-21 09:53:24.060
tf,NFO,79508,,,,,52.25,-56.22,,1745209405,,,,,,,,,,,,2025-04-21 09:53:25.372
tf,NFO,79508,,,,,52.40,-56.10,,1745209405,,,,,7368450,,,52.20,52.35,1350,900,2025-04-21 09:53:25.621
tf,NFO,79508,,,,,,,,1745209407,,,,,7368750,,,52.30,52.45,,225,2025-04-21 09:53:27.254
tf,NFO,79508,,,,,52.80,-55.76,,1745209408,,,,,,,,,,,,2025-04-21 09:53:27.828
tf,NFO,79508,,,,,,,,1745209409,,,,65.58,7370100,,,52.85,53.00,2325,75,2025-04-21 09:53:29.101
tf,NFO,79508,,,,,52.95,-55.63,,1745209409,,,,,,,,,,,,2025-04-21 09:53:29.577
tf,NFO,79508,,,,,52.60,-55.93,,1745209410,,,,,,,,,,,,2025-04-21 09:53:30.374
tf,NFO,79508,,,,,52.55,-55.97,,1745209410,,,,,7371600,,,52.65,52.75,75,525,2025-04-21 09:53:30.622
tf,NFO,79508,,,,,53.10,-55.51,,1745209411,,,,,,,,,,,,2025-04-21 09:53:31.379
tf,NFO,79508,,,,,52.65,-55.89,,1745209412,,,,,7373775,,,52.70,52.85,600,675,2025-04-21 09:53:32.238
tf,NFO,79508,,,,,53.00,-55.59,,1745209412,,,,,,,,,,,,2025-04-21 09:53:32.383
tf,NFO,79508,,,,,53.35,-55.30,,1745209413,,,,,,,,,,,,2025-04-21 09:53:33.404
tf,NFO,79508,,,,,53.55,-55.13,,1745209414,,,,65.57,7374900,,,53.30,53.40,75,1350,2025-04-21 09:53:34.020
tf,NFO,79508,,,,,53.35,-55.30,,1745209415,,,,,,,,,,,,2025-04-21 09:53:35.378
tf,NFO,79508,,,,,,,,1745209415,,,,,7375575,,,53.35,,150,225,2025-04-21 09:53:35.642
tf,NFO,79508,,,,,53.10,-55.51,,1745209416,,,,,,,,,,,,2025-04-21 09:53:36.377
tf,NFO,79508,,,,,,,,1745209417,,,,,7376400,,,53.10,53.20,525,75,2025-04-21 09:53:37.240
tf,NFO,79508,,,,,52.60,-55.93,,1745209419,,,,,7379700,,,52.60,52.75,1275,300,2025-04-21 09:53:38.870
tf,NFO,79508,,,,,52.85,-55.72,,1745209419,,,,,,,,,,,,2025-04-21 09:53:39.481
tf,NFO,79508,,,,,52.45,-56.05,,1745209420,,,,,,,,,,,,2025-04-21 09:53:40.423
tf,NFO,79508,,,,,,,,1745209420,,,,65.56,7382025,,,52.20,52.30,150,900,2025-04-21 09:53:40.567
tf,NFO,79508,,,,,51.95,-56.47,,1745209421,,,,,,,,,,,,2025-04-21 09:53:41.390
tf,NFO,79508,,,,,52.45,-56.05,,1745209422,,,,,7385325,,,,52.35,1275,300,2025-04-21 09:53:42.251
tf,NFO,79508,,,,,52.80,-55.76,,1745209423,,,,,,,,,,,,2025-04-21 09:53:43.386
tf,NFO,79508,,,,,53.10,-55.51,,1745209424,,,,65.55,7387275,,,53.15,53.25,150,525,2025-04-21 09:53:43.859
tf,NFO,79508,,,,,52.70,-55.84,,1745209424,,,,,,,,,,,,2025-04-21 09:53:44.389
tf,NFO,79508,,,,,52.55,-55.97,,1745209425,,,,,,,,,,,,2025-04-21 09:53:45.382
tf,NFO,79508,,,,,,,,1745209425,,,,,7388325,,,52.85,53.00,225,1500,2025-04-21 09:53:45.460
tf,NFO,79508,,,,,52.85,-55.72,,1745209426,,,,,,,,,,,,2025-04-21 09:53:46.518
tf,NFO,79508,,,,,53.00,-55.59,,1745209427,,,,,7389150,,,52.70,52.85,1200,150,2025-04-21 09:53:47.268
tf,NFO,79508,,,,,52.85,-55.72,,1745209427,,,,,,,,,,,,2025-04-21 09:53:47.401
tf,NFO,79508,,,,,52.45,-56.05,,1745209428,,,,,,,,,,,,2025-04-21 09:53:48.387
tf,NFO,79508,,,,,52.40,-56.10,,1745209429,,,,,7389675,,,52.65,52.80,75,1650,2025-04-21 09:53:48.864
tf,NFO,79508,,,,,52.90,-55.68,,1745209430,,,,,,,,,,,,2025-04-21 09:53:50.385
