t,e,tk,ts,pp,ls,ti,lp,pc,c,ft,o,h,l,ap,v,oi,poi,bp1,sp1,bq1,sq1,received_timestamp
tk,NFO,79517,NIFTY24APR25C23900,2,75,0.05,220.55,34.07,164.50,1745209404,197.45,234.00,165.35,196.53,21598725,3235575,1935450,220.10,220.60,225,75,2025-04-21 09:53:24.022
tf,NFO,79517,,,,,219.90,33.68,,1745209404,,,,,,,,,,,,2025-04-21 09:53:24.479
tf,NFO,79517,,,,,219.15,33.22,,1745209405,,,,,21604950,,,219.15,219.55,300,150,2025-04-21 09:53:25.392
tf,NFO,79517,,,,,219.80,33.62,,1745209405,,,,,,,,,,,,2025-04-21 09:53:25.488
tf,NFO,79517,,,,,218.05,32.55,,1745209406,,,,,,,,,,,,2025-04-21 09:53:26.679
tf,NFO,79517,,,,,218.80,33.01,,1745209407,,,,196.54,21612825,,,218.75,219.20,,450,2025-04-21 09:53:27.048
tf,NFO,79517,,,,,218.55,32.86,,1745209407,,,,,,,,,,,,2025-04-21 09:53:27.483
tf,NFO,79517,,,,,217.50,32.22,,1745209408,,,,,,,,,,,,2025-04-21 09:53:28.488
tf,NFO,79517,,,,,216.90,31.85,,1745209409,,,,196.55,21623175,,,216.85,217.30,150,75,2025-04-21 09:53:28.858
tf,NFO,79517,,,,,216.85,31.82,,1745209409,,,,,,,,,,,,2025-04-21 09:53:29.581
tf,NFO,79517,,,,,218.10,32.58,,1745209410,,,,196.56,21630525,,,218.45,218.75,,,2025-04-21 09:53:30.403
tf,NFO,79517,,,,,218.30,32.71,,1745209411,,,,,,,,,,,,2025-04-21 09:53:31.488
tf,NFO,79517,,,,,219.20,33.25,,1745209412,,,,,21635700,,,219.15,219.50,600,,2025-04-21 09:53:32.004
tf,NFO,79517,,,,,218.50,32.83,,1745209412,,,,,,,,,,,,2025-04-21 09:53:32.564
tf,NFO,79517,,,,,217.70,32.34,,1745209413,,,,,,,,,,,,2025-04-21 09:53:33.563
tf,NFO,79517,,,,,217.60,32.28,,1745209414,,,,196.57,21645675,,,217.10,217.50,225,600,2025-04-21 09:53:33.809
tf,NFO,79517,,,,,218.40,32.77,,1745209414,,,,,,,,,,,,2025-04-21 09:53:34.488
tf,NFO,79517,,,,,218.05,32.55,,1745209415,,,,196.58,21651975,,,217.55,218.00,675,300,2025-04-21 09:53:35.411
tf,NFO,79517,,,,,218.15,32.61,,1745209416,,,,,,,,,,,,2025-04-21 09:53:36.489
tf,NFO,79517,,,,,218.95,33.10,,1745209417,,,,196.59,21656775,,,218.80,219.15,75,225,2025-04-21 09:53:37.016
tf,NFO,79517,,,,,218.90,33.07,,1745209417,,,,,,,,,,,,2025-04-21 09:53:37.506
tf,NFO,79517,,,,,219.05,33.16,,1745209418,,,,,,,,,,,,2025-04-21 09:53:38.495
tf,NFO,79517,,,,,219.55,33.47,,1745209419,,,,,21662700,,,219.25,219.75,450,375,2025-04-21 09:53:38.837
tf,NFO,79517,,,,,219.85,33.65,,1745209419,,,,,,,,,,,,2025-04-21 09:53:39.540
tf,NFO,79517,,,,,220.60,34.10,,1745209420,,,,196.60,21671025,,,220.60,221.00,375,1275,2025-04-21 09:53:40.563
tf,NFO,79517,,,,,221.70,34.77,,1745209421,,,,,,,,,,,,2025-04-21 09:53:41.496
tf,NFO,79517,,,,,220.80,34.22,,1745209422,,,,196.61,21675900,,,220.20,220.70,450,600,2025-04-21 09:53:42.027
tf,NFO,79517,,,,,221.00,34.35,,1745209422,,,,,,,,,,,,2025-04-21 09:53:42.556
tf,NFO,79517,,,,,218.75,32.98,,1745209423,,,,,,,,,,,,2025-04-21 09:53:43.507
tf,NFO,79517,,,,,218.70,32.95,,1745209424,,,,,21683850,,,218.05,218.55,375,225,2025-04-21 09:53:43.831
tf,NFO,79517,,,,,220.50,34.04,,1745209424,,,,,,,,,,,,2025-04-21 09:53:44.496
tf,NFO,79517,,,,,219.15,33.22,,1745209425,,,,196.62,21686325,,,218.65,219.15,225,825,2025-04-21 09:53:45.427
tf,NFO,79517,,,,,218.70,32.95,,1745209425,,,,,,,,,,,,2025-04-21 09:53:45.494
tf,NFO,79517,,,,,218.85,33.04,,1745209426,,,,,,,,,,,,2025-04-21 09:53:46.525
tf,NFO,79517,,,,,219.00,33.13,,1745209427,,,,,21691275,,,218.70,219.10,75,750,2025-04-21 09:53:47.079
tf,NFO,79517,,,,,219.95,33.71,,1745209427,,,,,,,,,,,,2025-04-21 09:53:47.507
tf,NFO,79517,,,,,220.30,33.92,,1745209428,,,,,,,,,,,,2025-04-21 09:53:48.499
tf,NFO,79517,,,,,219.30,33.31,,1745209429,,,,196.63,21695100,,,219.15,219.65,375,150,2025-04-21 09:53:48.835
tf,NFO,79517,,,,,220.00,33.74,,1745209429,,,,,,,,,,,,2025-04-21 09:53:49.499
tf,NFO,79517,,,,,218.50,32.83,,1745209430,,,,,21696675,,,218.30,218.75,300,,2025-04-21 09:53:50.435
tf,NFO,79517,,,,,218.65,32.92,,1745209430,,,,,,,,,,,,2025-04-21 09:53:50.499
tf,NFO,79517,,,,,219.95,33.71,,1745209431,,,,,,,,,,,,2025-04-21 09:53:51.507
