t,e,tk,ts,pp,ls,ti,lp,pc,c,ft,o,h,l,ap,v,oi,poi,bp1,sp1,bq1,sq1,received_timestamp
tk,NFO,79634,NIFTY24APR25C24350,2,75,0.05,47.85,37.11,34.90,1745209403,40.00,52.60,30.10,42.74,8720025,1351350,706650,47.75,47.85,375,450,2025-04-21 09:53:24.048
tf,NFO,79634,,,,,47.30,35.53,,1745209404,,,,,8726775,,,47.35,47.50,225,1725,2025-04-21 09:53:24.060
tf,NFO,79634,,,,,47.10,34.96,,1745209404,,,,,,,,,,,,2025-04-21 09:53:24.371
tf,NFO,79634,,,,,47.20,35.24,,1745209405,,,,42.75,8730900,,,47.10,47.25,1275,1050,2025-04-21 09:53:25.622
tf,NFO,79634,,,,,46.80,34.10,,1745209406,,,,,,,,,,,,2025-04-21 09:53:26.443
tf,NFO,79634,,,,,47.05,34.81,,1745209407,,,,,8735175,,,47.00,47.15,1350,1650,2025-04-21 09:53:27.254
tf,NFO,79634,,,,,46.65,33.67,,1745209408,,,,,,,,,,,,2025-04-21 09:53:28.457
tf,NFO,79634,,,,,,,,1745209409,,,,,8737575,,,46.65,46.80,525,2475,2025-04-21 09:53:29.102
tf,NFO,79634,,,,,46.80,34.10,,1745209409,,,,,,,,,,,,2025-04-21 09:53:29.578
tf,NFO,79634,,,,,47.00,34.67,,1745209410,,,,,,,,,,,,2025-04-21 09:53:30.375
tf,NFO,79634,,,,,46.95,34.53,,1745209410,,,,,8738400,,,46.95,47.10,225,2400,2025-04-21 09:53:30.622
tf,NFO,79634,,,,,47.20,35.24,,1745209412,,,,,8741100,,,47.00,47.15,1050,525,2025-04-21 09:53:32.241
tf,NFO,79634,,,,,47.00,34.67,,1745209412,,,,,,,,,,,,2025-04-21 09:53:32.385
tf,NFO,79634,,,,,46.80,34.10,,1745209413,,,,,,,,,,,,2025-04-21 09:53:33.404
tf,NFO,79634,,,,,46.70,33.81,,1745209414,,,,,8742525,,,46.70,46.85,1275,600,2025-04-21 09:53:34.034
tf,NFO,79634,,,,,46.75,33.95,,1745209415,,,,,,,,,,,,2025-04-21 09:53:35.379
tf,NFO,79634,,,,,,,,1745209415,,,,,8743350,,,,,525,825,2025-04-21 09:53:35.643
tf,NFO,79634,,,,,47.00,34.67,,1745209416,,,,,,,,,,,,2025-04-21 09:53:36.378
tf,NFO,79634,,,,,46.90,34.38,,1745209417,,,,,8744925,,,46.90,47.00,300,375,2025-04-21 09:53:37.242
tf,NFO,79634,,,,,47.10,34.96,,1745209417,,,,,,,,,,,,2025-04-21 09:53:37.381
tf,NFO,79634,,,,,47.30,35.53,,1745209418,,,,,,,,,,,,2025-04-21 09:53:38.381
tf,NFO,79634,,,,,,,,1745209419,,,,,8746950,,,47.20,47.35,825,1050,2025-04-21 09:53:38.871
tf,NFO,79634,,,,,47.55,36.25,,1745209420,,,,,,,,,,,,2025-04-21 09:53:40.423
tf,NFO,79634,,,,,,,,1745209421,,,,42.76,8750325,,,47.55,47.70,900,1725,2025-04-21 09:53:40.628
tf,NFO,79634,,,,,47.60,36.39,,1745209421,,,,,,,,,,,,2025-04-21 09:53:41.390
tf,NFO,79634,,,,,47.35,35.67,,1745209422,,,,,8751675,,,47.35,47.45,1125,150,2025-04-21 09:53:42.252
tf,NFO,79634,,,,,47.00,34.67,,1745209423,,,,,,,,,,,,2025-04-21 09:53:43.578
tf,NFO,79634,,,,,46.95,34.53,,1745209424,,,,,8752875,,,46.80,46.95,975,1050,2025-04-21 09:53:43.860
tf,NFO,79634,,,,,47.35,35.67,,1745209424,,,,,,,,,,,,2025-04-21 09:53:44.387
tf,NFO,79634,,,,,47.20,35.24,,1745209425,,,,,,,,,,,,2025-04-21 09:53:45.380
tf,NFO,79634,,,,,,,,1745209426,,,,,8755275,,,47.00,47.05,75,150,2025-04-21 09:53:45.678
tf,NFO,79634,,,,,47.05,34.81,,1745209426,,,,,,,,,,,,2025-04-21 09:53:46.494
tf,NFO,79634,,,,,47.00,34.67,,1745209427,,,,,8756775,,,47.10,47.25,1500,375,2025-04-21 09:53:47.269
tf,NFO,79634,,,,,47.15,35.10,,1745209428,,,,,,,,,,,,2025-04-21 09:53:48.384
tf,NFO,79634,,,,,47.40,35.82,,1745209429,,,,,8759100,,,47.00,47.15,525,1200,2025-04-21 09:53:48.864
tf,NFO,79634,,,,,47.20,35.24,,1745209429,,,,,,,,,,,,2025-04-21 09:53:49.380
tf,NFO,79634,,,,,47.05,34.81,,1745209430,,,,,,,,,,,,2025-04-21 09:53:50.383
tf,NFO,79634,,,,,,,,1745209431,,,,,8760150,,,46.95,47.10,975,1800,2025-04-21 09:53:50.647
tf,NFO,79634,,,,,47.25,35.39,,1745209431,,,,,,,,,,,,2025-04-21 09:53:51.382
tf,NFO,79634,,,,,47.30,35.53,,1745209432,,,,,8762775,,,47.20,47.35,900,1650,2025-04-21 09:53:52.411
tf,NFO,79634,,,,,46.95,34.53,,1745209433,,,,,,,,,,,,2025-04-21 09:53:53.432
tf,NFO,79634,,,,,47.05,34.81,,1745209434,,,,,8763675,,,47.00,47.10,300,900,2025-04-21 09:53:53.903
tf,NFO,79634,,,,,46.90,34.38,,1745209435,,,,,,,,,,,,2025-04-21 09:53:55.452
tf,NFO,79634,,,,,,,,1745209436,,,,,8765025,,,46.95,,675,1950,2025-04-21 09:53:55.652
tf,NFO,79634,,,,,47.00,34.67,,1745209436,,,,,,,,,,,,2025-04-21 09:53:56.405
tf,NFO,79634,,,,,46.90,34.38,,1745209437,,,,,8767725,,,46.65,46.80,825,900,2025-04-21 09:53:57.275
tf,NFO,79634,,,,,46.65,33.67,,1745209437,,,,,,,,,,,,2025-04-21 09:53:57.390
tf,NFO,79634,,,,,46.95,34.53,,1745209438,,,,,,,,,,,,2025-04-21 09:53:58.396
tf,NFO,79634,,,,,46.85,34.24,,1745209439,,,,42.77,8768400,,,46.85,47.00,450,3000,2025-04-21 09:53:58.935
tf,NFO,79634,,,,,47.00,34.67,,1745209439,,,,,,,,,,,,2025-04-21 09:53:59.458
tf,NFO,79634,,,,,47.05,34.81,,1745209440,,,,,,,,,,,,2025-04-21 09:54:00.422
