t,e,tk,ts,pp,ls,ti,lp,pc,c,ft,o,h,l,ap,v,oi,poi,bp1,sp1,bq1,sq1,received_timestamp
tk,NFO,79631,NIFTY24APR25P24250,2,75,0.05,315.65,-29.89,450.20,1745209404,398.35,425.00,300.75,346.55,219300,66450,12000,316.10,317.05,75,75,2025-04-21 09:53:24.044
tf,NFO,79631,,,,,,,,1745209405,,,,,,,,316.75,317.60,150,225,2025-04-21 09:53:25.608
tf,NFO,79631,,,,,,,,1745209407,,,,,,,,317.30,318.15,,75,2025-04-21 09:53:27.245
tf,NFO,79631,,,,,,,,1745209409,,,,,,,,319.85,320.80,225,150,2025-04-21 09:53:28.871
tf,NFO,79631,,,,,,,,1745209410,,,,,,,,317.95,318.90,450,75,2025-04-21 09:53:30.606
tf,NFO,79631,,,,,,,,1745209412,,,,,,,,317.90,318.75,300,150,2025-04-21 09:53:32.211
tf,NFO,79631,,,,,,,,1745209414,,,,,,,,320.35,321.15,75,75,2025-04-21 09:53:33.813
tf,NFO,79631,,,,,,,,1745209415,,,,,,,,319.90,320.85,225,750,2025-04-21 09:53:35.612
tf,NFO,79631,,,,,,,,1745209417,,,,,,,,318.75,319.60,150,300,2025-04-21 09:53:37.213
tf,NFO,79631,,,,,,,,1745209419,,,,,,,,317.10,317.95,,150,2025-04-21 09:53:38.867
tf,NFO,79631,,,,,318.10,-29.34,,1745209419,,,,,,,,,,,,2025-04-21 09:53:38.901
tf,NFO,79631,,,,,,,,1745209420,,,,346.54,219375,,,315.85,316.70,,,2025-04-21 09:53:40.620
tf,NFO,79631,,,,,,,,1745209422,,,,,,,,315.80,,300,75,2025-04-21 09:53:42.222
tf,NFO,79631,,,,,,,,1745209424,,,,,,,,318.90,319.80,75,225,2025-04-21 09:53:43.856
tf,NFO,79631,,,,,,,,1745209425,,,,,,,,317.90,318.80,150,,2025-04-21 09:53:45.678
tf,NFO,79631,,,,,,,,1745209427,,,,,,,,317.25,318.25,,375,2025-04-21 09:53:47.240
tf,NFO,79631,,,,,316.00,-29.81,,1745209428,,,,,,,,,,,,2025-04-21 09:53:48.503
tf,NFO,79631,,,,,,,,1745209429,,,,346.50,219675,,,317.05,317.90,75,75,2025-04-21 09:53:48.837
tf,NFO,79631,,,,,317.25,-29.53,,1745209430,,,,,,,,,,,,2025-04-21 09:53:50.096
tf,NFO,79631,,,,,318.80,-29.19,,1745209430,,,,346.47,219900,,,318.35,319.25,150,375,2025-04-21 09:53:50.464
tf,NFO,79631,,,,,316.40,-29.72,,1745209431,,,,,,,,,,,,2025-04-21 09:53:51.508
tf,NFO,79631,,,,,,,,1745209432,,,,346.43,220200,,,316.65,317.45,300,75,2025-04-21 09:53:52.263
tf,NFO,79631,,,,,,,,1745209434,,,,,,,,317.05,317.85,150,150,2025-04-21 09:53:53.870
tf,NFO,79631,,,,,318.15,-29.33,,1745209434,,,,,,,,,,,,2025-04-21 09:53:54.098
tf,NFO,79631,,,,,,,,1745209435,,,,346.33,220950,,,317.85,318.80,225,225,2025-04-21 09:53:55.462
tf,NFO,79631,,,,,,,,1745209437,,,,,,,,316.95,317.85,150,75,2025-04-21 09:53:57.246
tf,NFO,79631,,,,,,,,1745209439,,,,,,,,316.40,317.25,225,,2025-04-21 09:53:58.885
tf,NFO,79631,,,,,,,,1745209440,,,,,,,,315.75,316.65,150,375,2025-04-21 09:54:00.631
tf,NFO,79631,,,,,314.85,-30.06,,1745209441,,,,,,,,,,,,2025-04-21 09:54:00.802
tf,NFO,79631,,,,,,,,1745209442,,,,346.31,221100,,,315.10,316.00,,225,2025-04-21 09:54:02.272
tf,NFO,79631,,,,,,,,1745209444,,,,,,,,316.50,317.25,75,375,2025-04-21 09:54:03.890
tf,NFO,79631,,,,,316.70,-29.65,,1745209444,,,,,,,,,,,,2025-04-21 09:54:04.530
tf,NFO,79631,,,,,,,,1745209445,,,,346.30,221175,,,316.20,316.95,150,75,2025-04-21 09:54:05.564
tf,NFO,79631,,,,,318.55,-29.24,,1745209446,,,,,,,,,,,,2025-04-21 09:54:06.114
tf,NFO,79631,,,,,317.95,-29.38,,1745209447,,,,,,,,,,,,2025-04-21 09:54:06.947
tf,NFO,79631,,,,,316.85,-29.62,,1745209447,,,,346.24,221625,,,316.55,317.45,300,225,2025-04-21 09:54:07.267
tf,NFO,79631,,,,,,,,1745209449,,,,,,,,316.60,317.35,150,75,2025-04-21 09:54:08.868
tf,NFO,79631,,,,,,,,1745209450,,,,,,,,317.35,318.30,375,,2025-04-21 09:54:10.478
tf,NFO,79631,,,,,,,,1745209452,,,,,,,,317.05,317.90,150,,2025-04-21 09:54:12.279
tf,NFO,79631,,,,,,,,1745209454,,,,,,,,317.55,318.35,300,,2025-04-21 09:54:13.977
tf,NFO,79631,,,,,,,,1745209455,,,,,,,,316.65,317.50,,,2025-04-21 09:54:15.505
tf,NFO,79631,,,,,,,,1745209457,,,,,,,,315.10,315.85,150,150,2025-04-21 09:54:17.303
tf,NFO,79631,,,,,,,,1745209459,,,,,,,,314.45,315.35,300,75,2025-04-21 09:54:18.897
tf,NFO,79631,,,,,314.20,-30.21,,1745209459,,,,,,,,,,,,2025-04-21 09:54:19.283
tf,NFO,79631,,,,,313.00,-30.48,,1745209459,,,,,,,,,,,,2025-04-21 09:54:20.072
tf,NFO,79631,,,,,,,,1745209460,,,,346.22,221775,,,311.95,312.75,75,225,2025-04-21 09:54:20.583
tf,NFO,79631,,,,,,,,1745209462,,,,,,,,311.40,312.20,150,75,2025-04-21 09:54:22.190
tf,NFO,79631,,,,,,,,1745209464,,,,,,,,310.35,311.20,,300,2025-04-21 09:54:24.005
tf,NFO,79631,,,,,311.80,-30.74,,1745209465,,,,346.20,221925,,,311.60,312.40,,150,2025-04-21 09:54:25.610
tf,NFO,79631,,,,,,,,1745209467,,,,,,,,311.10,311.80,75,75,2025-04-21 09:54:27.119
tf,NFO,79631,,,,,,,,1745209469,,,,,,,,311.85,312.70,375,450,2025-04-21 09:54:28.781
tf,NFO,79631,,,,,313.80,-30.30,,1745209470,,,,,,,,,,,,2025-04-21 09:54:30.490
tf,NFO,79631,,,,,,,,1745209470,,,,346.15,222225,,,312.95,313.75,150,375,2025-04-21 09:54:30.505
tf,NFO,79631,,,,,311.35,-30.84,,1745209471,,,,,,,,,,,,2025-04-21 09:54:31.322
tf,NFO,79631,,,,,,,,1745209472,,,,346.13,222375,,,312.25,313.10,75,75,2025-04-21 09:54:32.102
tf,NFO,79631,,,,,312.35,-30.62,,1745209473,,,,,,,,,,,,2025-04-21 09:54:32.811
tf,NFO,79631,,,,,,,,1745209474,,,,346.12,222450,,,312.30,313.05,,150,2025-04-21 09:54:33.777
tf,NFO,79631,,,,,,,,1745209475,,,,,,,,312.50,313.30,225,75,2025-04-21 09:54:35.427
tf,NFO,79631,,,,,,,,1745209477,,,,,,,,311.50,312.30,,150,2025-04-21 09:54:36.905
tf,NFO,79631,,,,,,,,1745209478,,,,,,,,312.20,313.00,300,75,2025-04-21 09:54:38.565
tf,NFO,79631,,,,,312.00,-30.70,,1745209479,,,,,,65250,,,,,,2025-04-21 09:54:39.370
tf,NFO,79631,,,,,,,,1745209480,,,,346.11,222525,,,310.40,311.20,,,2025-04-21 09:54:40.167
tf,NFO,79631,,,,,310.00,-31.14,,1745209481,,,,,,,,,,,,2025-04-21 09:54:40.730
tf,NFO,79631,,,,,,,,1745209482,,,,346.10,222600,,,309.25,310.10,225,150,2025-04-21 09:54:41.912
tf,NFO,79631,,,,,,,,1745209483,,,,,,,,310.65,311.50,150,75,2025-04-21 09:54:43.533
tf,NFO,79631,,,,,,,,1745209485,,,,346.08,222675,,,310.25,311.20,,,2025-04-21 09:54:45.148
tf,NFO,79631,,,,,310.15,-31.11,,1745209486,,,,,,,,,,,,2025-04-21 09:54:46.329
tf,NFO,79631,,,,,,,,1745209487,,,,345.96,223425,,,311.15,312.00,75,150,2025-04-21 09:54:46.944
tf,NFO,79631,,,,,,,,1745209488,,,,,,,,308.90,309.70,150,75,2025-04-21 09:54:48.576
tf,NFO,79631,,,,,,,,1745209490,,,,,,,,309.20,310.10,375,,2025-04-21 09:54:50.153
tf,NFO,79631,,,,,,,,1745209492,,,,,,,,310.75,311.65,150,,2025-04-21 09:54:52.009
tf,NFO,79631,,,,,307.55,-31.69,,1745209493,,,,345.95,223500,,,308.05,309.00,,150,2025-04-21 09:54:53.546
tf,NFO,79631,,,,,,,,1745209495,,,,,,,,307.95,309.25,675,225,2025-04-21 09:54:55.162
tf,NFO,79631,,,,,308.45,-31.49,,1745209495,,,,,,,,,,,,2025-04-21 09:54:55.538
tf,NFO,79631,,,,,,,,1745209497,,,,345.92,223650,,,308.25,309.05,150,75,2025-04-21 09:54:56.942
tf,NFO,79631,,,,,,,,1745209498,,,,,,,,308.10,308.95,300,150,2025-04-21 09:54:58.860
tf,NFO,79631,,,,,306.50,-31.92,,1745209500,,,,,,,,,,,,2025-04-21 09:55:00.010
tf,NFO,79631,,,,,,,,1745209500,,,,345.91,223725,,,307.15,308.00,150,75,2025-04-21 09:55:00.247
tf,NFO,79631,,,,,,,,1745209502,,,,,,,,308.35,309.10,,,2025-04-21 09:55:01.940
tf,NFO,79631,,,,,308.60,-31.45,,1745209502,,,,,,,,,,,,2025-04-21 09:55:02.149
tf,NFO,79631,,,,,,,,1745209503,,,,345.90,223800,,,308.70,309.60,375,450,2025-04-21 09:55:03.572
tf,NFO,79631,,,,,306.85,-31.84,,1745209505,,,,,,,,,,,,2025-04-21 09:55:05.146
tf,NFO,79631,,,,,,,,1745209505,,,,345.89,223875,,,307.10,307.95,225,525,2025-04-21 09:55:05.197
tf,NFO,79631,,,,,,,,1745209507,,,,,,,,306.20,306.95,150,75,2025-04-21 09:55:06.956
tf,NFO,79631,,,,,,,,1745209508,,,,,,,,304.80,305.75,75,300,2025-04-21 09:55:08.704
tf,NFO,79631,,,,,304.20,-32.43,,1745209509,,,,,,,,,,,,2025-04-21 09:55:08.877
tf,NFO,79631,,,,,,,,1745209510,,,,345.87,223950,,,304.75,305.65,150,150,2025-04-21 09:55:10.181
tf,NFO,79631,,,,,303.00,-32.70,,1745209511,,,,,,,,,,,,2025-04-21 09:55:11.372
tf,NFO,79631,,,,,303.85,-32.51,,1745209512,,,,,,,,,,,,2025-04-21 09:55:11.874
tf,NFO,79631,,,,,,,,1745209512,,,,345.84,224100,,,302.75,303.60,300,225,2025-04-21 09:55:12.083
tf,NFO,79631,,,,,,,,1745209513,,,,,,,,302.70,303.55,75,,2025-04-21 09:55:13.591
tf,NFO,79631,,,,,,,,1745209515,,,,,,,,300.45,301.35,150,375,2025-04-21 09:55:15.190
tf,NFO,79631,,,,,297.80,-33.85,,1745209517,,,,,,,,,,,,2025-04-21 09:55:16.749
tf,NFO,79631,,,,,288.45,-35.93,,1745209517,,,288.45,345.05,227775,,,289.05,291.45,75,300,2025-04-21 09:55:16.970
tf,NFO,79631,,,,,290.45,-35.48,,1745209518,,,,,,,,,,,,2025-04-21 09:55:17.755
tf,NFO,79631,,,,,290.50,-35.47,,1745209518,,,,344.94,228225,,,289.55,290.45,300,,2025-04-21 09:55:18.704
tf,NFO,79631,,,,,289.10,-35.78,,1745209519,,,,,,,,,,,,2025-04-21 09:55:18.798
tf,NFO,79631,,,,,,,,1745209520,,,,344.90,228375,,,289.85,290.65,150,,2025-04-21 09:55:20.199
tf,NFO,79631,,,,,290.60,-35.45,,1745209521,,,,,,,,,,,,2025-04-21 09:55:20.761
tf,NFO,79631,,,,,288.25,-35.97,,1745209521,,,,,,,,,,,,2025-04-21 09:55:21.572
tf,NFO,79631,,,,,287.90,-36.05,,1745209522,,,287.90,344.74,229050,,,287.90,288.75,,150,2025-04-21 09:55:21.971
tf,NFO,79631,,,,,288.30,-35.96,,1745209523,,,,344.67,229350,,,287.60,288.45,300,,2025-04-21 09:55:23.587
tf,NFO,79631,,,,,290.05,-35.57,,1745209524,,,,,,,,,,,,2025-04-21 09:55:24.553
