t,e,tk,ts,pp,ls,ti,lp,pc,c,ft,o,h,l,ap,v,oi,poi,bp1,sp1,bq1,sq1,received_timestamp
tk,NFO,79536,NIFTY24APR25P24000,2,75,0.05,161.65,-40.49,271.65,1745209404,211.00,260.70,150.20,186.43,27622875,5246475,2049000,161.30,161.70,675,225,2025-04-21 09:53:24.028
tf,NFO,79536,,,,,161.20,-40.66,,1745209404,,,,,,,,,,,,2025-04-21 09:53:24.367
tf,NFO,79536,,,,,161.50,-40.55,,1745209405,,,,,,,,,,,,2025-04-21 09:53:25.370
tf,NFO,79536,,,,,161.95,-40.38,,1745209405,,,,,27632700,,,161.65,161.90,600,900,2025-04-21 09:53:25.614
tf,NFO,79536,,,,,162.80,-40.07,,1745209406,,,,,,,,,,,,2025-04-21 09:53:26.442
tf,NFO,79536,,,,,162.25,-40.27,,1745209407,,,,186.41,27645900,,,162.00,162.35,750,225,2025-04-21 09:53:27.248
tf,NFO,79536,,,,,162.20,-40.29,,1745209407,,,,,,,,,,,,2025-04-21 09:53:27.451
tf,NFO,79536,,,,,163.50,-39.81,,1745209408,,,,,,,,,,,,2025-04-21 09:53:28.454
tf,NFO,79536,,,,,164.00,-39.63,,1745209409,,,,186.40,27660450,,,163.80,164.00,375,75,2025-04-21 09:53:28.873
tf,NFO,79536,,,,,163.25,-39.90,,1745209410,,,,,,,,,,,,2025-04-21 09:53:30.372
tf,NFO,79536,,,,,163.00,-40.00,,1745209410,,,,186.39,27678675,,,162.80,163.00,75,450,2025-04-21 09:53:30.620
tf,NFO,79536,,,,,163.05,-39.98,,1745209411,,,,,,,,,,,,2025-04-21 09:53:31.377
tf,NFO,79536,,,,,162.60,-40.14,,1745209412,,,,186.38,27689925,,,162.60,162.90,300,300,2025-04-21 09:53:32.218
tf,NFO,79536,,,,,163.70,-39.74,,1745209412,,,,,,,,,,,,2025-04-21 09:53:32.380
tf,NFO,79536,,,,,164.35,-39.50,,1745209413,,,,,,,,,,,,2025-04-21 09:53:33.403
tf,NFO,79536,,,,,164.70,-39.37,,1745209414,,,,186.37,27698400,,,164.30,164.65,525,1500,2025-04-21 09:53:33.837
tf,NFO,79536,,,,,163.85,-39.68,,1745209414,,,,,,,,,,,,2025-04-21 09:53:34.373
tf,NFO,79536,,,,,164.40,-39.48,,1745209415,,,,,,,,,,,,2025-04-21 09:53:35.376
tf,NFO,79536,,,,,164.05,-39.61,,1745209415,,,,186.36,27711075,,,163.85,164.25,150,675,2025-04-21 09:53:35.624
