t,e,tk,ts,pp,ls,ti,lp,pc,c,ft,o,h,l,ap,v,oi,poi,bp1,sp1,bq1,sq1,received_timestamp
tk,NFO,79555,NIFTY24APR25C24150,2,75,0.05,100.25,40.90,71.15,1745209403,95.00,108.45,72.00,90.25,13283850,1633950,427275,99.90,100.10,225,750,2025-04-21 09:53:24.035
tf,NFO,79555,,,,,99.40,39.70,,1745209404,,,,,,,,,,,,2025-04-21 09:53:24.270
tf,NFO,79555,,,,,99.35,39.63,,1745209404,,,,,13293300,,,99.15,99.40,600,1050,2025-04-21 09:53:24.501
tf,NFO,79555,,,,,99.15,39.35,,1745209405,,,,,,,,,,,,2025-04-21 09:53:25.276
tf,NFO,79555,,,,,98.65,38.65,,1745209406,,,,90.26,13303725,,,98.45,98.65,75,375,2025-04-21 09:53:26.113
tf,NFO,79555,,,,,98.40,38.30,,1745209406,,,,,,,,,,,,2025-04-21 09:53:26.272
tf,NFO,79555,,,,,98.80,38.86,,1745209407,,,,,,,,,,,,2025-04-21 09:53:27.271
tf,NFO,79555,,,,,98.00,37.74,,1745209408,,,,,13310175,,,97.85,98.10,825,1200,2025-04-21 09:53:27.911
tf,NFO,79555,,,,,97.80,37.46,,1745209408,,,,,,,,,,,,2025-04-21 09:53:28.271
tf,NFO,79555,,,,,98.30,38.16,,1745209409,,,,,,,,,,,,2025-04-21 09:53:29.363
tf,NFO,79555,,,,,97.95,37.67,,1745209409,,,,90.27,13320000,,,97.90,98.15,1275,450,2025-04-21 09:53:29.582
tf,NFO,79555,,,,,98.50,38.44,,1745209410,,,,,,,,,,,,2025-04-21 09:53:30.279
tf,NFO,79555,,,,,98.45,38.37,,1745209411,,,,,13327050,,,98.50,98.70,450,600,2025-04-21 09:53:31.120
tf,NFO,79555,,,,,98.75,38.79,,1745209411,,,,,,,,,,,,2025-04-21 09:53:31.272
tf,NFO,79555,,,,,99.00,39.14,,1745209412,,,,,,,,,,,,2025-04-21 09:53:32.301
tf,NFO,79555,,,,,97.90,37.60,,1745209413,,,,90.28,13331850,,,97.90,98.10,825,150,2025-04-21 09:53:32.916
tf,NFO,79555,,,,,97.95,37.67,,1745209413,,,,,,,,,,,,2025-04-21 09:53:33.375
