t,e,tk,ts,pp,ls,ti,lp,pc,c,ft,o,h,l,ap,v,oi,poi,bp1,sp1,bq1,sq1,received_timestamp
tk,NFO,79510,NIFTY24APR25P23700,2,75,0.05,60.95,-54.67,134.45,1745209403,118.05,118.05,56.10,77.83,14570775,3201825,2471100,60.75,60.85,825,375,2025-04-21 09:53:24.011
tf,NFO,79510,,,,,61.50,-54.26,,1745209404,,,,,,,,,,,,2025-04-21 09:53:24.591
tf,NFO,79510,,,,,61.55,-54.22,,1745209405,,,,,14573325,,,61.40,61.55,375,1350,2025-04-21 09:53:24.762
tf,NFO,79510,,,,,61.65,-54.15,,1745209405,,,,,,,,,,,,2025-04-21 09:53:25.605
tf,NFO,79510,,,,,62.05,-53.85,,1745209406,,,,,14579025,,,61.80,61.95,1950,75,2025-04-21 09:53:26.441
tf,NFO,79510,,,,,61.85,-54.00,,1745209407,,,,,,,,,,,,2025-04-21 09:53:27.638
tf,NFO,79510,,,,,62.20,-53.74,,1745209408,,,,77.82,14580750,,,62.25,62.35,150,525,2025-04-21 09:53:28.239
tf,NFO,79510,,,,,62.45,-53.55,,1745209408,,,,,,,,,,,,2025-04-21 09:53:28.658
tf,NFO,79510,,,,,62.40,-53.59,,1745209410,,,,,14583300,,,62.40,62.55,1725,75,2025-04-21 09:53:29.770
tf,NFO,79510,,,,,62.10,-53.81,,1745209410,,,,,,,,,,,,2025-04-21 09:53:30.593
tf,NFO,79510,,,,,62.30,-53.66,,1745209411,,,,,14587875,,,62.35,62.45,525,675,2025-04-21 09:53:31.381
tf,NFO,79510,,,,,62.20,-53.74,,1745209411,,,,,,,,,,,,2025-04-21 09:53:31.599
tf,NFO,79510,,,,,62.55,-53.48,,1745209412,,,,,,,,,,,,2025-04-21 09:53:32.592
tf,NFO,79510,,,,,62.80,-53.29,,1745209413,,,,77.81,14592375,,,62.65,62.85,1275,1125,2025-04-21 09:53:33.187
tf,NFO,79510,,,,,62.90,-53.22,,1745209413,,,,,,,,,,,,2025-04-21 09:53:33.600
tf,NFO,79510,,,,,62.65,-53.40,,1745209414,,,,,,,,,,,,2025-04-21 09:53:34.603
