t,e,tk,ts,pp,ls,ti,lp,pc,c,ft,o,h,l,ap,v,oi,poi,bp1,sp1,bq1,sq1,received_timestamp
tk,NFO,79611,NIFTY24APR25P24200,2,75,0.05,278.15,-31.74,407.50,1745209404,364.85,387.80,265.15,313.32,1778325,487200,177075,278.55,279.20,300,75,2025-04-21 09:53:24.041
tf,NFO,79611,,,,,280.90,-31.07,,1745209405,,,,,1778775,,,280.45,281.10,,,2025-04-21 09:53:24.832
tf,NFO,79611,,,,,,,,1745209406,,,,,,,,281.85,282.40,150,150,2025-04-21 09:53:26.445
tf,NFO,79611,,,,,282.60,-30.65,,1745209407,,,,,,,,,,,,2025-04-21 09:53:27.036
tf,NFO,79611,,,,,,,,1745209408,,,,313.31,1778925,,,282.95,283.60,225,225,2025-04-21 09:53:28.068
tf,NFO,79611,,,,,283.85,-30.34,,1745209408,,,,,,,,,,,,2025-04-21 09:53:28.238
tf,NFO,79611,,,,,,,,1745209410,,,,,1779075,,,283.25,283.85,75,450,2025-04-21 09:53:29.674
tf,NFO,79611,,,,,283.25,-30.49,,1745209410,,,,,,,,,,,,2025-04-21 09:53:30.326
tf,NFO,79611,,,,,283.10,-30.53,,1745209411,,,,,1779300,,,282.30,282.90,150,75,2025-04-21 09:53:31.440
tf,NFO,79611,,,,,283.05,-30.54,,1745209411,,,,,,,,,,,,2025-04-21 09:53:31.529
tf,NFO,79611,,,,,284.10,-30.28,,1745209412,,,,,,,,,,,,2025-04-21 09:53:32.566
tf,NFO,79611,,,,,284.40,-30.21,,1745209413,,,,,,,,,,,,2025-04-21 09:53:32.987
tf,NFO,79611,,,,,,,,1745209413,,,,313.29,1780275,,,283.80,284.50,225,150,2025-04-21 09:53:33.082
tf,NFO,79611,,,,,284.25,-30.25,,1745209414,,,,,,,,,,,,2025-04-21 09:53:33.980
tf,NFO,79611,,,,,,,,1745209415,,,,,1780425,,,282.65,283.30,75,,2025-04-21 09:53:34.651
tf,NFO,79611,,,,,283.20,-30.50,,1745209415,,,,,,,,,,,,2025-04-21 09:53:34.935
tf,NFO,79611,,,,,284.25,-30.25,,1745209416,,,,,,,,,,,,2025-04-21 09:53:35.939
tf,NFO,79611,,,,,282.70,-30.63,,1745209416,,,,313.25,1782900,,,282.90,283.45,,,2025-04-21 09:53:36.448
tf,NFO,79611,,,,,282.05,-30.79,,1745209417,,,,,,,,,,,,2025-04-21 09:53:36.932
tf,NFO,79611,,,,,,,,1745209418,,,,313.24,1783500,,,282.15,282.85,,75,2025-04-21 09:53:38.051
tf,NFO,79611,,,,,281.80,-30.85,,1745209420,,,,313.20,1785450,,,281.10,281.65,,150,2025-04-21 09:53:39.955
tf,NFO,79611,,,,,281.65,-30.88,,1745209420,,,,,,,,,,,,2025-04-21 09:53:40.155
tf,NFO,79611,,,,,279.00,-31.53,,1745209421,,,,,,,,,,,,2025-04-21 09:53:40.938
tf,NFO,79611,,,,,,,,1745209421,,,,313.11,1790250,,,278.40,279.00,375,750,2025-04-21 09:53:41.461
