t,e,tk,ts,pp,ls,ti,lp,pc,c,ft,o,h,l,ap,v,oi,poi,bp1,sp1,bq1,sq1,received_timestamp
tk,NFO,79511,NIFTY24APR25C23750,2,75,0.05,326.90,30.84,249.85,1745209403,270.40,340.95,251.00,290.21,1255500,462525,479025,325.95,326.65,225,450,2025-04-21 09:53:24.012
tf,NFO,79511,,,,,,,,1745209404,,,,290.22,1256025,,,324.55,325.25,150,225,2025-04-21 09:53:24.063
tf,NFO,79511,,,,,322.50,29.08,,1745209406,,,,290.23,1256100,,,322.10,322.85,225,450,2025-04-21 09:53:26.039
tf,NFO,79511,,,,,,,,1745209407,,,,,1256475,,,322.05,322.80,150,525,2025-04-21 09:53:27.462
tf,NFO,79511,,,,,320.70,28.36,,1745209408,,,,,,,,,,,,2025-04-21 09:53:28.442
tf,NFO,79511,,,,,,,,1745209409,,,,290.24,1256775,,,320.80,321.40,75,150,2025-04-21 09:53:29.104
tf,NFO,79511,,,,,321.25,28.58,,1745209409,,,,,,,,,,,,2025-04-21 09:53:29.584
tf,NFO,79511,,,,,322.90,29.24,,1745209410,,,,,,,,,,,,2025-04-21 09:53:30.540
tf,NFO,79511,,,,,,,,1745209411,,,,290.25,1257000,,,321.60,322.30,150,,2025-04-21 09:53:30.879
tf,NFO,79511,,,,,,,,1745209412,,,,,,,,321.70,322.45,225,,2025-04-21 09:53:32.546
tf,NFO,79511,,,,,320.80,28.40,,1745209413,,,,,,,,,,,,2025-04-21 09:53:32.988
tf,NFO,79511,,,,,321.00,28.48,,1745209414,,,,,1257300,,,320.85,321.55,75,225,2025-04-21 09:53:34.074
tf,NFO,79511,,,,,,,,1745209416,,,,,,,,321.55,322.35,150,75,2025-04-21 09:53:35.874
tf,NFO,79511,,,,,,,,1745209417,,,,,,,,322.35,323.15,225,450,2025-04-21 09:53:37.481
tf,NFO,79511,,,,,,,,1745209419,,,,,,,,322.55,323.25,150,150,2025-04-21 09:53:39.154
tf,NFO,79511,,,,,,,,1745209421,,,,,,,,325.45,326.10,,225,2025-04-21 09:53:40.881
tf,NFO,79511,,,,,,,,1745209422,,,,,,,,324.90,325.60,225,150,2025-04-21 09:53:42.494
tf,NFO,79511,,,,,322.90,29.24,,1745209424,,,,290.26,1257450,,,322.70,323.35,75,225,2025-04-21 09:53:44.115
tf,NFO,79511,,,,,,,,1745209426,,,,,,,,322.50,323.15,150,150,2025-04-21 09:53:45.929
tf,NFO,79511,,,,,323.35,29.42,,1745209427,,,,,1257600,,,323.80,324.50,75,225,2025-04-21 09:53:47.503
tf,NFO,79511,,,,,324.35,29.82,,1745209429,,,,,1257675,,,,324.55,225,300,2025-04-21 09:53:49.118
tf,NFO,79511,,,,,323.10,29.32,,1745209430,,,,,,,,,,,,2025-04-21 09:53:50.142
tf,NFO,79511,,,,,323.25,29.38,,1745209430,,,,,,,,,,,,2025-04-21 09:53:50.546
tf,NFO,79511,,,,,,,,1745209431,,,,290.27,1257900,,,323.05,323.80,375,150,2025-04-21 09:53:50.709
tf,NFO,79511,,,,,323.60,29.52,,1745209431,,,,,,,,,,,,2025-04-21 09:53:51.546
tf,NFO,79511,,,,,,,,1745209432,,,,,1257975,,,323.55,324.20,75,225,2025-04-21 09:53:52.496
tf,NFO,79511,,,,,,,,1745209434,,,,,,,,323.05,323.75,450,675,2025-04-21 09:53:54.153
tf,NFO,79511,,,,,323.05,29.30,,1745209435,,,,,,,,,,,,2025-04-21 09:53:54.767
tf,NFO,79511,,,,,322.80,29.20,,1745209435,,,,,,,,,,,,2025-04-21 09:53:55.553
tf,NFO,79511,,,,,,,,1745209436,,,,290.28,1258275,,,323.25,323.95,150,150,2025-04-21 09:53:55.725
tf,NFO,79511,,,,,323.55,29.50,,1745209436,,,,,,,,,,,,2025-04-21 09:53:56.562
tf,NFO,79511,,,,,323.85,29.62,,1745209437,,,,,1258425,,,321.25,322.00,75,375,2025-04-21 09:53:57.519
tf,NFO,79511,,,,,324.25,29.78,,1745209439,,,,,,,,,,,,2025-04-21 09:53:58.981
tf,NFO,79511,,,,,324.80,30.00,,1745209439,,,,290.29,1258800,,,323.75,324.45,,300,2025-04-21 09:53:59.149
tf,NFO,79511,,,,,325.00,30.08,,1745209440,,,,,,,,,,,,2025-04-21 09:54:00.636
tf,NFO,79511,,,,,,,,1745209441,,,,290.31,1259325,,,324.50,325.20,,150,2025-04-21 09:54:00.830
tf,NFO,79511,,,,,323.65,29.54,,1745209441,,,,,,,,,,,,2025-04-21 09:54:01.651
tf,NFO,79511,,,,,324.10,29.72,,1745209442,,,,290.33,1260000,,,324.30,324.95,150,,2025-04-21 09:54:02.547
tf,NFO,79511,,,,,323.35,29.42,,1745209444,,,,,,,,,,,,2025-04-21 09:54:03.966
tf,NFO,79511,,,,,,,,1745209444,,,,,1260150,,,322.45,323.10,,225,2025-04-21 09:54:04.140
tf,NFO,79511,,,,,,,,1745209446,,,,290.36,1261200,,,321.55,322.20,,150,2025-04-21 09:54:05.798
tf,NFO,79511,,,,,322.65,29.14,,1745209447,,,,,,,,,,,,2025-04-21 09:54:07.356
