t,e,tk,ts,pp,ls,ti,lp,pc,c,ft,o,h,l,ap,v,oi,poi,bp1,sp1,bq1,sq1,received_timestamp
tk,NFO,79509,NIFTY24APR25C23700,2,75,0.05,364.50,29.10,282.35,1745209404,321.00,381.15,284.15,328.83,2445450,1710825,1950300,365.45,366.15,150,225,2025-04-21 09:53:24.009
tf,NFO,79509,,,,,363.10,28.60,,1745209404,,,,,,,,,,,,2025-04-21 09:53:24.591
tf,NFO,79509,,,,,,,,1745209405,,,,328.84,2446050,,,363.00,363.85,975,300,2025-04-21 09:53:24.763
tf,NFO,79509,,,,,362.65,28.44,,1745209405,,,,,,,,,,,,2025-04-21 09:53:25.606
tf,NFO,79509,,,,,,,,1745209406,,,,328.85,2446350,,,361.40,362.00,75,,2025-04-21 09:53:26.684
tf,NFO,79509,,,,,363.00,28.56,,1745209407,,,,,,,,,,,,2025-04-21 09:53:27.044
tf,NFO,79509,,,,,362.25,28.30,,1745209407,,,,,,,,,,,,2025-04-21 09:53:27.640
tf,NFO,79509,,,,,,,,1745209408,,,,,2446650,,,359.75,360.50,150,75,2025-04-21 09:53:28.240
tf,NFO,79509,,,,,,,,1745209410,,,,,,,,359.95,360.75,,300,2025-04-21 09:53:29.772
tf,NFO,79509,,,,,360.20,27.57,,1745209410,,,,,,,,,,,,2025-04-21 09:53:29.992
tf,NFO,79509,,,,,361.50,28.03,,1745209411,,,,,,,,,,,,2025-04-21 09:53:30.790
tf,NFO,79509,,,,,,,,1745209411,,,,,2446875,,,361.95,362.55,300,75,2025-04-21 09:53:31.576
tf,NFO,79509,,,,,362.55,28.40,,1745209412,,,,,,,,,,,,2025-04-21 09:53:31.790
tf,NFO,79509,,,,,361.00,27.86,,1745209412,,,,,,,,,,,,2025-04-21 09:53:32.592
tf,NFO,79509,,,,,,,,1745209413,,,,328.86,2447175,,,359.85,360.65,150,225,2025-04-21 09:53:33.187
tf,NFO,79509,,,,,360.75,27.77,,1745209413,,,,,,,,,,,,2025-04-21 09:53:33.600
tf,NFO,79509,,,,,359.75,27.41,,1745209414,,,,,,,,,,,,2025-04-21 09:53:34.603
