t,e,tk,ts,pp,ls,ti,lp,pc,c,ft,o,h,l,ap,v,oi,poi,bp1,sp1,bq1,sq1,received_timestamp
tk,NFO,79546,NIFTY24APR25P24050,2,75,0.05,186.20,-38.32,301.90,1745209403,259.90,278.75,175.00,208.96,4841925,610725,41550,185.60,186.05,825,750,2025-04-21 09:53:24.032
tf,NFO,79546,,,,,187.60,-37.86,,1745209404,,,,,,,,,,,,2025-04-21 09:53:24.590
tf,NFO,79546,,,,,,,,1745209405,,,,,4843125,,,187.25,187.60,150,375,2025-04-21 09:53:24.761
tf,NFO,79546,,,,,187.40,-37.93,,1745209405,,,,,,,,,,,,2025-04-21 09:53:25.604
tf,NFO,79546,,,,,188.90,-37.43,,1745209406,,,,208.95,4845300,,,188.35,188.65,300,75,2025-04-21 09:53:26.440
tf,NFO,79546,,,,,188.80,-37.46,,1745209406,,,,,,,,,,,,2025-04-21 09:53:26.687
tf,NFO,79546,,,,,188.50,-37.56,,1745209407,,,,,,,,,,,,2025-04-21 09:53:27.634
tf,NFO,79546,,,,,189.90,-37.10,,1745209408,,,,208.94,4846875,,,189.45,189.85,225,300,2025-04-21 09:53:28.239
tf,NFO,79546,,,,,189.65,-37.18,,1745209409,,,,,,,,,,,,2025-04-21 09:53:29.591
tf,NFO,79546,,,,,190.20,-37.00,,1745209410,,,,208.92,4851000,,,189.80,190.20,,525,2025-04-21 09:53:29.769
tf,NFO,79546,,,,,188.80,-37.46,,1745209410,,,,,,,,,,,,2025-04-21 09:53:30.592
tf,NFO,79546,,,,,189.40,-37.26,,1745209411,,,,208.91,4854000,,,189.00,189.45,1125,450,2025-04-21 09:53:31.380
tf,NFO,79546,,,,,188.75,-37.48,,1745209411,,,,,,,,,,,,2025-04-21 09:53:31.597
tf,NFO,79546,,,,,190.25,-36.98,,1745209412,,,,,,,,,,,,2025-04-21 09:53:32.591
tf,NFO,79546,,,,,190.45,-36.92,,1745209413,,,,208.89,4859775,,,190.10,190.45,450,75,2025-04-21 09:53:33.186
tf,NFO,79546,,,,,190.75,-36.82,,1745209413,,,,,,,,,,,,2025-04-21 09:53:33.599
tf,NFO,79546,,,,,189.90,-37.10,,1745209414,,,,,,,,,,,,2025-04-21 09:53:34.601
tf,NFO,79546,,,,,190.10,-37.03,,1745209415,,,,208.87,4863975,,,189.55,189.85,225,225,2025-04-21 09:53:34.777
tf,NFO,79546,,,,,190.45,-36.92,,1745209415,,,,,,,,,,,,2025-04-21 09:53:35.594
tf,NFO,79546,,,,,189.85,-37.11,,1745209416,,,,208.86,4866450,,,189.35,189.75,375,450,2025-04-21 09:53:36.383
tf,NFO,79546,,,,,189.75,-37.15,,1745209416,,,,,,,,,,,,2025-04-21 09:53:36.610
tf,NFO,79546,,,,,189.45,-37.25,,1745209417,,,,,,,,,,,,2025-04-21 09:53:37.597
tf,NFO,79546,,,,,,,,1745209418,,,,,4867950,,,188.85,189.25,450,75,2025-04-21 09:53:38.190
tf,NFO,79546,,,,,188.70,-37.50,,1745209418,,,,,,,,,,,,2025-04-21 09:53:38.596
tf,NFO,79546,,,,,188.60,-37.53,,1745209419,,,,,,,,,,,,2025-04-21 09:53:39.952
tf,NFO,79546,,,,,188.20,-37.66,,1745209420,,,,208.85,4869825,,,187.95,188.35,975,,2025-04-21 09:53:40.137
tf,NFO,79546,,,,,187.30,-37.96,,1745209420,,,,,,,,,,,,2025-04-21 09:53:40.605
tf,NFO,79546,,,,,186.20,-38.32,,1745209421,,,,208.84,4872000,,,185.85,186.25,450,525,2025-04-21 09:53:41.417
tf,NFO,79546,,,,,186.40,-38.26,,1745209421,,,,,,,,,,,,2025-04-21 09:53:41.618
tf,NFO,79546,,,,,187.00,-38.06,,1745209422,,,,,,,,,,,,2025-04-21 09:53:42.601
tf,NFO,79546,,,,,188.65,-37.51,,1745209423,,,,208.82,4875375,,,188.45,188.75,225,75,2025-04-21 09:53:43.188
tf,NFO,79546,,,,,189.45,-37.25,,1745209423,,,,,,,,,,,,2025-04-21 09:53:43.598
tf,NFO,79546,,,,,187.65,-37.84,,1745209424,,,,,,,,,,,,2025-04-21 09:53:44.602
tf,NFO,79546,,,,,,,,1745209425,,,,,4876125,,,187.30,187.65,,675,2025-04-21 09:53:44.795
tf,NFO,79546,,,,,187.90,-37.76,,1745209425,,,,,,,,,,,,2025-04-21 09:53:45.674
tf,NFO,79546,,,,,188.90,-37.43,,1745209426,,,,208.81,4877625,,,188.50,188.90,525,600,2025-04-21 09:53:46.519
tf,NFO,79546,,,,,189.05,-37.38,,1745209426,,,,,,,,,,,,2025-04-21 09:53:46.700
tf,NFO,79546,,,,,188.35,-37.61,,1745209427,,,,,,,,,,,,2025-04-21 09:53:47.605
tf,NFO,79546,,,,,188.30,-37.63,,1745209428,,,,,4879425,,,187.85,188.30,375,225,2025-04-21 09:53:48.197
tf,NFO,79546,,,,,187.60,-37.86,,1745209428,,,,,,,,,,,,2025-04-21 09:53:48.603
tf,NFO,79546,,,,,187.95,-37.74,,1745209429,,,,,,,,,,,,2025-04-21 09:53:49.603
tf,NFO,79546,,,,,187.25,-37.98,,1745209430,,,,208.80,4881150,,,187.50,187.85,,75,2025-04-21 09:53:49.799
tf,NFO,79546,,,,,189.15,-37.35,,1745209430,,,,,,,,,,,,2025-04-21 09:53:50.609
tf,NFO,79546,,,,,187.95,-37.74,,1745209431,,,,208.79,4882500,,,187.45,,75,750,2025-04-21 09:53:51.425
tf,NFO,79546,,,,,187.60,-37.86,,1745209431,,,,,,,,,,,,2025-04-21 09:53:51.632
tf,NFO,79546,,,,,188.25,-37.64,,1745209432,,,,,,,,,,,,2025-04-21 09:53:52.645
tf,NFO,79546,,,,,187.70,-37.83,,1745209433,,,,,4883400,,,187.30,187.75,300,150,2025-04-21 09:53:53.225
tf,NFO,79546,,,,,187.45,-37.91,,1745209433,,,,,,,,,,,,2025-04-21 09:53:53.645
tf,NFO,79546,,,,,187.90,-37.76,,1745209434,,,,,,,,,,,,2025-04-21 09:53:54.655
tf,NFO,79546,,,,,188.10,-37.69,,1745209435,,,,208.78,4884750,,,187.70,188.00,75,375,2025-04-21 09:53:55.034
tf,NFO,79546,,,,,188.55,-37.55,,1745209435,,,,,,,,,,,,2025-04-21 09:53:55.618
tf,NFO,79546,,,,,186.85,-38.11,,1745209436,,,,,4886550,,,186.80,187.20,750,1350,2025-04-21 09:53:56.501
tf,NFO,79546,,,,,187.20,-37.99,,1745209436,,,,,,,,,,,,2025-04-21 09:53:56.618
tf,NFO,79546,,,,,188.95,-37.41,,1745209437,,,,,,,,,,,,2025-04-21 09:53:57.627
tf,NFO,79546,,,,,187.50,-37.89,,1745209438,,,,208.77,4887900,,,187.45,187.85,300,300,2025-04-21 09:53:58.216
tf,NFO,79546,,,,,187.40,-37.93,,1745209438,,,,,,,,,,,,2025-04-21 09:53:58.616
tf,NFO,79546,,,,,187.15,-38.01,,1745209439,,,,,,,,,,,,2025-04-21 09:53:59.631
tf,NFO,79546,,,,,186.10,-38.36,,1745209440,,,,208.76,4889925,,,185.60,186.05,1050,525,2025-04-21 09:53:59.842
tf,NFO,79546,,,,,186.75,-38.14,,1745209440,,,,,,,,,,,,2025-04-21 09:54:00.665
tf,NFO,79546,,,,,187.05,-38.04,,1745209441,,,,,4891050,,,186.60,187.05,450,225,2025-04-21 09:54:01.460
tf,NFO,79546,,,,,186.15,-38.34,,1745209442,,,,,,,,,,,,2025-04-21 09:54:02.613
tf,NFO,79546,,,,,,,,1745209443,,,,208.75,4891575,,,185.80,186.25,600,600,2025-04-21 09:54:03.228
tf,NFO,79546,,,,,186.55,-38.21,,1745209443,,,,,,,,,,,,2025-04-21 09:54:03.616
tf,NFO,79546,,,,,186.45,-38.24,,1745209444,,,,,,,,,,,,2025-04-21 09:54:04.617
tf,NFO,79546,,,,,,,,1745209445,,,,,4892700,,,187.20,187.60,675,300,2025-04-21 09:54:04.824
tf,NFO,79546,,,,,187.90,-37.76,,1745209445,,,,,,,,,,,,2025-04-21 09:54:05.713
tf,NFO,79546,,,,,188.35,-37.61,,1745209446,,,,208.74,4893675,,,188.30,188.65,150,,2025-04-21 09:54:06.542
tf,NFO,79546,,,,,188.25,-37.64,,1745209446,,,,,,,,,,,,2025-04-21 09:54:06.760
tf,NFO,79546,,,,,186.70,-38.16,,1745209447,,,,,,,,,,,,2025-04-21 09:54:07.616
tf,NFO,79546,,,,,186.00,-38.39,,1745209448,,,,208.73,4897200,,,186.05,186.40,225,225,2025-04-21 09:54:08.229
tf,NFO,79546,,,,,186.65,-38.17,,1745209448,,,,,,,,,,,,2025-04-21 09:54:08.623
tf,NFO,79546,,,,,187.20,-37.99,,1745209449,,,,,,,,,,,,2025-04-21 09:54:09.625
tf,NFO,79546,,,,,186.80,-38.13,,1745209450,,,,208.72,4899375,,,186.95,187.25,300,150,2025-04-21 09:54:09.841
tf,NFO,79546,,,,,187.55,-37.88,,1745209450,,,,,,,,,,,,2025-04-21 09:54:10.619
tf,NFO,79546,,,,,187.40,-37.93,,1745209451,,,,208.71,4900125,,,187.35,187.80,450,900,2025-04-21 09:54:11.437
tf,NFO,79546,,,,,187.30,-37.96,,1745209452,,,,,,,,,,,,2025-04-21 09:54:12.923
