t,e,tk,ts,pp,ls,ti,lp,pc,c,ft,o,h,l,ap,v,oi,poi,bp1,sp1,bq1,sq1,received_timestamp
tk,NFO,79506,NIFTY24APR25P23600,2,75,0.05,44.60,-58.26,106.85,1745209404,94.20,94.20,40.90,57.33,13205925,3577050,2618400,44.55,44.65,1575,825,2025-04-21 09:53:24.005
tf,NFO,79506,,,,,44.45,-58.40,,1745209404,,,,,,,,,,,,2025-04-21 09:53:24.342
tf,NFO,79506,,,,,44.80,-58.07,,1745209405,,,,,,,,,,,,2025-04-21 09:53:25.341
tf,NFO,79506,,,,,44.90,-57.98,,1745209406,,,,,13208775,,,44.85,44.95,375,1200,2025-04-21 09:53:25.785
tf,NFO,79506,,,,,44.85,-58.03,,1745209406,,,,,,,,,,,,2025-04-21 09:53:26.411
tf,NFO,79506,,,,,,,,1745209407,,,,57.32,13211850,,,44.80,,1725,1425,2025-04-21 09:53:27.431
tf,NFO,79506,,,,,45.15,-57.74,,1745209408,,,,,,,,,,,,2025-04-21 09:53:28.450
tf,NFO,79506,,,,,45.40,-57.51,,1745209409,,,,,13212750,,,45.20,45.30,675,300,2025-04-21 09:53:29.099
tf,NFO,79506,,,,,45.35,-57.56,,1745209409,,,,,,,,,,,,2025-04-21 09:53:29.575
tf,NFO,79506,,,,,45.10,-57.79,,1745209410,,,,,,,,,,,,2025-04-21 09:53:30.346
tf,NFO,79506,,,,,45.15,-57.74,,1745209411,,,,,13216125,,,,,150,1650,2025-04-21 09:53:30.736
tf,NFO,79506,,,,,45.30,-57.60,,1745209411,,,,,,,,,,,,2025-04-21 09:53:31.348
tf,NFO,79506,,,,,45.50,-57.42,,1745209412,,,,,13217250,,,45.35,45.50,450,1875,2025-04-21 09:53:32.341
tf,NFO,79506,,,,,45.70,-57.23,,1745209413,,,,,,,,,,,,2025-04-21 09:53:33.377
tf,NFO,79506,,,,,45.80,-57.14,,1745209414,,,,,13220550,,,45.75,45.85,75,1275,2025-04-21 09:53:34.006
tf,NFO,79506,,,,,45.60,-57.32,,1745209414,,,,,,,,,,,,2025-04-21 09:53:34.351
tf,NFO,79506,,,,,45.70,-57.23,,1745209415,,,,,,,,,,,,2025-04-21 09:53:35.351
tf,NFO,79506,,,,,45.55,-57.37,,1745209416,,,,57.31,13222125,,,45.40,45.45,750,2025,2025-04-21 09:53:35.746
tf,NFO,79506,,,,,45.40,-57.51,,1745209416,,,,,,,,,,,,2025-04-21 09:53:36.352
tf,NFO,79506,,,,,,,,1745209417,,,,,13227525,,,45.25,45.40,2025,75,2025-04-21 09:53:37.356
tf,NFO,79506,,,,,45.30,-57.60,,1745209418,,,,,,,,,,,,2025-04-21 09:53:38.351
tf,NFO,79506,,,,,45.15,-57.74,,1745209419,,,,,13228275,,,45.10,45.20,975,525,2025-04-21 09:53:39.146
