t,e,tk,ts,pp,ls,ti,lp,pc,c,ft,o,h,l,ap,v,oi,poi,bp1,sp1,bq1,sq1,received_timestamp
tk,NFO,79637,NIFTY24APR25P24400,2,75,0.05,433.75,-24.23,572.45,1745209403,518.80,553.00,418.25,478.20,152775,68400,45525,433.00,434.10,300,300,2025-04-21 09:53:24.053
tf,NFO,79637,,,,,,,,1745209405,,,,,,,,435.75,437.00,75,375,2025-04-21 09:53:24.964
tf,NFO,79637,,,,,437.35,-23.60,,1745209406,,,,,,,,,,,,2025-04-21 09:53:26.038
tf,NFO,79637,,,,,438.95,-23.32,,1745209406,,,,478.12,153075,,,437.50,438.65,,,2025-04-21 09:53:26.686
tf,NFO,79637,,,,,438.80,-23.35,,1745209407,,,,,,,,,,,,2025-04-21 09:53:27.643
tf,NFO,79637,,,,,,,,1745209408,,,,478.10,153150,,,439.30,440.30,300,300,2025-04-21 09:53:28.268
tf,NFO,79637,,,,,,,,1745209410,,,,,,,,439.05,440.60,75,,2025-04-21 09:53:29.967
tf,NFO,79637,,,,,,,,1745209411,,,,,,,,437.50,438.70,,,2025-04-21 09:53:31.583
tf,NFO,79637,,,,,,,,1745209413,,,,,,,,439.45,440.85,225,,2025-04-21 09:53:33.224
tf,NFO,79637,,,,,,,,1745209415,,,,,,,,439.15,440.55,300,,2025-04-21 09:53:34.977
tf,NFO,79637,,,,,,,,1745209416,,,,,,,,439.05,440.40,225,,2025-04-21 09:53:36.579
tf,NFO,79637,,,,,,,,1745209418,,,,,,,,437.60,439.15,75,,2025-04-21 09:53:38.195
tf,NFO,79637,,,,,,,,1745209420,,,,,,,,436.45,437.85,225,600,2025-04-21 09:53:40.156
tf,NFO,79637,,,,,,,,1745209421,,,,,,,,433.70,435.00,150,375,2025-04-21 09:53:41.594
tf,NFO,79637,,,,,,,,1745209423,,,,,,,,437.25,438.60,75,300,2025-04-21 09:53:43.204
tf,NFO,79637,,,,,,,,1745209425,,,,,,,,435.85,437.80,150,,2025-04-21 09:53:44.994
tf,NFO,79637,,,,,438.75,-23.36,,1745209425,,,,,,,,,,,,2025-04-21 09:53:45.677
tf,NFO,79637,,,,,,,,1745209426,,,,477.91,153900,,,437.70,438.75,225,375,2025-04-21 09:53:46.698
tf,NFO,79637,,,,,437.30,-23.61,,1745209427,,,,,,,,,,,,2025-04-21 09:53:47.606
tf,NFO,79637,,,,,437.70,-23.54,,1745209428,,,,477.79,154350,,,436.55,437.55,300,525,2025-04-21 09:53:48.230
tf,NFO,79637,,,,,437.60,-23.56,,1745209430,,,,477.75,154500,,,436.45,437.80,375,300,2025-04-21 09:53:50.001
tf,NFO,79637,,,,,,,,1745209431,,,,,,,,435.45,436.55,,375,2025-04-21 09:53:51.634
tf,NFO,79637,,,,,,,,1745209433,,,,,,,,435.70,437.85,300,525,2025-04-21 09:53:53.252
tf,NFO,79637,,,,,,,,1745209435,,,,,,,,436.65,438.30,,300,2025-04-21 09:53:55.042
tf,NFO,79637,,,,,,,,1745209436,,,,,,,,435.35,436.70,,225,2025-04-21 09:53:56.620
tf,NFO,79637,,,,,,,,1745209438,,,,,,,,436.55,437.95,,525,2025-04-21 09:53:58.235
tf,NFO,79637,,,,,436.20,-23.80,,1745209439,,,,,,,,,,,,2025-04-21 09:53:59.593
tf,NFO,79637,,,,,,,,1745209440,,,,477.73,154575,,,434.20,435.20,,75,2025-04-21 09:54:00.019
tf,NFO,79637,,,,,436.10,-23.82,,1745209441,,,,,,,,,,,,2025-04-21 09:54:01.459
tf,NFO,79637,,,,,,,,1745209441,,,,477.71,154650,,,435.50,436.70,,225,2025-04-21 09:54:01.656
tf,NFO,79637,,,,,,,,1745209443,,,,,,,,434.75,435.70,225,,2025-04-21 09:54:03.240
tf,NFO,79637,,,,,,,,1745209445,,,,,,,,435.85,437.15,300,300,2025-04-21 09:54:05.027
tf,NFO,79637,,,,,,,,1745209446,,,,,,,,437.60,438.95,375,,2025-04-21 09:54:06.775
tf,NFO,79637,,,,,,,,1745209448,,,,,,,,435.05,436.45,300,75,2025-04-21 09:54:08.232
tf,NFO,79637,,,,,,,,1745209450,,,,,,,,436.50,437.95,,375,2025-04-21 09:54:10.032
tf,NFO,79637,,,,,,,,1745209452,,,,,,,,436.85,438.15,75,150,2025-04-21 09:54:11.647
tf,NFO,79637,,,,,,,,1745209453,,,,,,,,438.00,439.40,300,300,2025-04-21 09:54:13.296
tf,NFO,79637,,,,,,,,1745209455,,,,,,,,436.45,437.65,,,2025-04-21 09:54:14.923
tf,NFO,79637,,,,,435.90,-23.85,,1745209457,,,,477.61,155025,,,434.15,435.70,,150,2025-04-21 09:54:16.748
tf,NFO,79637,,,,,,,,1745209458,,,,,,,,435.00,436.05,375,225,2025-04-21 09:54:18.323
tf,NFO,79637,,,,,,,,1745209460,,,,,,,,430.65,432.00,75,150,2025-04-21 09:54:20.131
tf,NFO,79637,,,,,,,,1745209462,,,,,,,,,432.05,375,300,2025-04-21 09:54:21.666
tf,NFO,79637,,,,,,,,1745209463,,,,,,,,,432.30,300,450,2025-04-21 09:54:23.284
tf,NFO,79637,,,,,,,,1745209465,,,,,,,,430.80,431.95,375,150,2025-04-21 09:54:24.932
tf,NFO,79637,,,,,,,,1745209467,,,,,,,,430.75,,300,75,2025-04-21 09:54:26.845
tf,NFO,79637,,,,,,,,1745209468,,,,,,,,431.85,433.10,,,2025-04-21 09:54:28.268
tf,NFO,79637,,,,,,,,1745209470,,,,,,,,431.75,,,225,2025-04-21 09:54:29.904
