t,e,tk,ts,pp,ls,ti,lp,pc,c,ft,o,h,l,ap,v,oi,poi,bp1,sp1,bq1,sq1,received_timestamp
tk,NFO,79547,NIFTY24APR25C24100,2,75,0.05,119.00,39.18,85.50,1745209403,93.00,128.00,87.10,107.01,28509975,4279275,2071875,119.10,119.45,1725,825,2025-04-21 09:53:24.034
tf,NFO,79547,,,,,118.40,38.48,,1745209404,,,,107.02,28536150,,,118.35,118.60,450,75,2025-04-21 09:53:24.061
tf,NFO,79547,,,,,118.00,38.01,,1745209404,,,,,,,,,,,,2025-04-21 09:53:24.530
tf,NFO,79547,,,,,117.80,37.78,,1745209405,,,,,,,,,,,,2025-04-21 09:53:25.527
tf,NFO,79547,,,,,,,,1745209406,,,,107.03,28556625,,,117.50,117.65,225,,2025-04-21 09:53:25.662
tf,NFO,79547,,,,,117.20,37.08,,1745209406,,,,,,,,,,,,2025-04-21 09:53:26.682
tf,NFO,79547,,,,,117.40,37.31,,1745209407,,,,107.04,28572375,,,117.30,117.55,,,2025-04-21 09:53:27.262
tf,NFO,79547,,,,,117.00,36.84,,1745209407,,,,,,,,,,,,2025-04-21 09:53:27.626
tf,NFO,79547,,,,,116.45,36.20,,1745209408,,,,,,,,,,,,2025-04-21 09:53:28.648
tf,NFO,79547,,,,,116.80,36.61,,1745209409,,,,,28591200,,,116.55,116.75,1800,450,2025-04-21 09:53:29.103
tf,NFO,79547,,,,,116.50,36.26,,1745209409,,,,,,,,,,,,2025-04-21 09:53:29.583
tf,NFO,79547,,,,,117.55,37.49,,1745209410,,,,,,,,,,,,2025-04-21 09:53:30.535
tf,NFO,79547,,,,,117.30,37.19,,1745209411,,,,107.05,28615575,,,117.05,117.30,975,225,2025-04-21 09:53:30.667
tf,NFO,79547,,,,,117.35,37.25,,1745209411,,,,,,,,,,,,2025-04-21 09:53:31.532
tf,NFO,79547,,,,,117.70,37.66,,1745209412,,,,,28622400,,,117.20,117.45,1050,450,2025-04-21 09:53:32.271
tf,NFO,79547,,,,,117.10,36.96,,1745209412,,,,,,,,,,,,2025-04-21 09:53:32.566
tf,NFO,79547,,,,,116.65,36.43,,1745209413,,,,,,,,,,,,2025-04-21 09:53:33.564
tf,NFO,79547,,,,,116.95,36.78,,1745209414,,,,,28627800,,,116.65,116.90,525,150,2025-04-21 09:53:34.069
tf,NFO,79547,,,,,117.60,37.54,,1745209414,,,,,,,,,,,,2025-04-21 09:53:34.545
tf,NFO,79547,,,,,116.55,36.32,,1745209415,,,,,,,,,,,,2025-04-21 09:53:35.538
tf,NFO,79547,,,,,116.95,36.78,,1745209416,,,,107.06,28634700,,,116.90,117.15,75,825,2025-04-21 09:53:35.675
tf,NFO,79547,,,,,117.10,36.96,,1745209416,,,,,,,,,,,,2025-04-21 09:53:36.536
tf,NFO,79547,,,,,117.50,37.43,,1745209417,,,,,28641375,,,117.20,117.50,750,450,2025-04-21 09:53:37.302
tf,NFO,79547,,,,,117.70,37.66,,1745209417,,,,,,,,,,,,2025-04-21 09:53:37.537
tf,NFO,79547,,,,,117.80,37.78,,1745209418,,,,,,,,,,,,2025-04-21 09:53:38.537
tf,NFO,79547,,,,,117.45,37.37,,1745209419,,,,,28651350,,,117.40,117.65,1725,150,2025-04-21 09:53:39.149
tf,NFO,79547,,,,,118.05,38.07,,1745209419,,,,,,,,,,,,2025-04-21 09:53:39.949
tf,NFO,79547,,,,,118.65,38.77,,1745209420,,,,,,,,,,,,2025-04-21 09:53:40.571
tf,NFO,79547,,,,,118.60,38.71,,1745209421,,,,107.07,28662900,,,118.60,118.90,2250,450,2025-04-21 09:53:40.680
tf,NFO,79547,,,,,119.05,39.24,,1745209421,,,,,,,,,,,,2025-04-21 09:53:41.543
tf,NFO,79547,,,,,118.35,38.42,,1745209422,,,,107.08,28680225,,,118.35,118.60,225,300,2025-04-21 09:53:42.290
tf,NFO,79547,,,,,118.60,38.71,,1745209422,,,,,,,,,,,,2025-04-21 09:53:42.556
tf,NFO,79547,,,,,117.30,37.19,,1745209423,,,,,,,,,,,,2025-04-21 09:53:43.541
tf,NFO,79547,,,,,117.25,37.13,,1745209424,,,,107.09,28733025,,,117.35,117.60,825,2025,2025-04-21 09:53:44.086
tf,NFO,79547,,,,,118.20,38.25,,1745209424,,,,,,,,,,,,2025-04-21 09:53:44.565
tf,NFO,79547,,,,,117.50,37.43,,1745209425,,,,,,,,,,,,2025-04-21 09:53:45.655
tf,NFO,79547,,,,,,,,1745209426,,,,107.10,28740525,,,117.40,117.70,1500,1200,2025-04-21 09:53:45.691
tf,NFO,79547,,,,,117.40,37.31,,1745209426,,,,,,,,,,,,2025-04-21 09:53:46.672
tf,NFO,79547,,,,,118.00,38.01,,1745209427,,,,,28747650,,,117.75,118.00,300,1500,2025-04-21 09:53:47.291
tf,NFO,79547,,,,,118.25,38.30,,1745209427,,,,,,,,,,,,2025-04-21 09:53:47.541
tf,NFO,79547,,,,,118.00,38.01,,1745209428,,,,,,,,,,,,2025-04-21 09:53:48.542
tf,NFO,79547,,,,,,,,1745209429,,,,,28755225,,,117.90,118.10,150,300,2025-04-21 09:53:49.092
tf,NFO,79547,,,,,117.45,37.37,,1745209430,,,,,,,,,,,,2025-04-21 09:53:50.544
tf,NFO,79547,,,,,117.35,37.25,,1745209431,,,,107.11,28767450,,,117.55,117.80,225,150,2025-04-21 09:53:50.693
tf,NFO,79547,,,,,118.30,38.36,,1745209431,,,,,,,,,,,,2025-04-21 09:53:51.543
tf,NFO,79547,,,,,117.85,37.84,,1745209432,,,,,28774275,,,117.75,118.00,525,975,2025-04-21 09:53:52.413
tf,NFO,79547,,,,,117.75,37.72,,1745209432,,,,,,,,,,,,2025-04-21 09:53:52.574
tf,NFO,79547,,,,,117.85,37.84,,1745209433,,,,,,,,,,,,2025-04-21 09:53:53.635
tf,NFO,79547,,,,,117.45,37.37,,1745209434,,,,107.12,28787175,,,117.45,117.65,375,75,2025-04-21 09:53:54.100
tf,NFO,79547,,,,,117.35,37.25,,1745209434,,,,,,,,,,,,2025-04-21 09:53:54.614
tf,NFO,79547,,,,,117.30,37.19,,1745209435,,,,,,,,,,,,2025-04-21 09:53:55.551
tf,NFO,79547,,,,,117.45,37.37,,1745209436,,,,,28798575,,,117.50,117.75,,300,2025-04-21 09:53:55.708
tf,NFO,79547,,,,,117.90,37.89,,1745209436,,,,,,,,,,,,2025-04-21 09:53:56.561
tf,NFO,79547,,,,,116.75,36.55,,1745209437,,,,,28805925,,,116.65,116.85,150,,2025-04-21 09:53:57.308
tf,NFO,79547,,,,,116.50,36.26,,1745209437,,,,,,,,,,,,2025-04-21 09:53:57.548
tf,NFO,79547,,,,,117.15,37.02,,1745209438,,,,,,,,,,,,2025-04-21 09:53:58.549
tf,NFO,79547,,,,,117.95,37.95,,1745209439,,,,,28811775,,,117.65,117.95,1200,750,2025-04-21 09:53:59.147
tf,NFO,79547,,,,,117.65,37.60,,1745209439,,,,,,,,,,,,2025-04-21 09:53:59.621
tf,NFO,79547,,,,,118.00,38.01,,1745209440,,,,,,,,,,,,2025-04-21 09:54:00.636
tf,NFO,79547,,,,,118.05,38.07,,1745209441,,,,107.13,28815750,,,118.05,118.30,375,300,2025-04-21 09:54:00.804
tf,NFO,79547,,,,,117.45,37.37,,1745209441,,,,,,,,,,,,2025-04-21 09:54:01.625
tf,NFO,79547,,,,,117.80,37.78,,1745209442,,,,,28825050,,,117.70,118.00,975,2175,2025-04-21 09:54:02.313
tf,NFO,79547,,,,,117.75,37.72,,1745209442,,,,,,,,,,,,2025-04-21 09:54:02.556
tf,NFO,79547,,,,,117.60,37.54,,1745209443,,,,,,,,,,,,2025-04-21 09:54:03.554
tf,NFO,79547,,,,,116.80,36.61,,1745209444,,,,,28832025,,,116.80,117.10,,1050,2025-04-21 09:54:04.116
tf,NFO,79547,,,,,117.30,37.19,,1745209444,,,,,,,,,,,,2025-04-21 09:54:04.558
tf,NFO,79547,,,,,117.35,37.25,,1745209445,,,,,,,,,,,,2025-04-21 09:54:05.576
tf,NFO,79547,,,,,116.70,36.49,,1745209446,,,,,28840350,,,116.50,116.60,2175,150,2025-04-21 09:54:05.795
tf,NFO,79547,,,,,116.60,36.37,,1745209446,,,,,,,,,,,,2025-04-21 09:54:06.589
tf,NFO,79547,,,,,116.90,36.73,,1745209447,,,,107.14,28850325,,,116.85,117.15,600,1800,2025-04-21 09:54:07.318
tf,NFO,79547,,,,,117.80,37.78,,1745209447,,,,,,,,,,,,2025-04-21 09:54:07.556
tf,NFO,79547,,,,,116.95,36.78,,1745209448,,,,,,,,,,,,2025-04-21 09:54:08.560
tf,NFO,79547,,,,,117.35,37.25,,1745209449,,,,,28861875,,,117.05,117.30,450,1050,2025-04-21 09:54:09.122
tf,NFO,79547,,,,,117.25,37.13,,1745209449,,,,,,,,,,,,2025-04-21 09:54:09.558
tf,NFO,79547,,,,,117.00,36.84,,1745209450,,,,,,,,,,,,2025-04-21 09:54:10.559
tf,NFO,79547,,,,,116.40,36.14,,1745209451,,,,,28870275,,,116.20,116.40,1800,1800,2025-04-21 09:54:10.723
tf,NFO,79547,,,,,116.80,36.61,,1745209451,,,,,,,,,,,,2025-04-21 09:54:11.559
tf,NFO,79547,,,,,116.55,36.32,,1745209452,,,,107.15,28874925,,,116.65,116.90,600,375,2025-04-21 09:54:12.326
tf,NFO,79547,,,,,116.50,36.26,,1745209452,,,,,,,,,,,,2025-04-21 09:54:12.922
tf,NFO,79547,,,,,116.30,36.02,,1745209453,,,,,,,,,,,,2025-04-21 09:54:13.562
tf,NFO,79547,,,,,116.55,36.32,,1745209454,,,,,28884600,,,116.30,116.55,1950,300,2025-04-21 09:54:14.170
tf,NFO,79547,,,,,116.35,36.08,,1745209454,,,,,,,,,,,,2025-04-21 09:54:14.560
tf,NFO,79547,,,,,116.65,36.43,,1745209455,,,,,,,,,,,,2025-04-21 09:54:15.585
tf,NFO,79547,,,,,116.60,36.37,,1745209456,,,,,28888650,,,116.50,116.70,3150,75,2025-04-21 09:54:15.766
tf,NFO,79547,,,,,117.70,37.66,,1745209456,,,,,,,,,,,,2025-04-21 09:54:16.574
tf,NFO,79547,,,,,117.60,37.54,,1745209457,,,,,28892550,,,117.30,117.50,750,,2025-04-21 09:54:17.421
tf,NFO,79547,,,,,117.55,37.49,,1745209457,,,,,,,,,,,,2025-04-21 09:54:17.633
tf,NFO,79547,,,,,117.75,37.72,,1745209458,,,,,,,,,,,,2025-04-21 09:54:18.607
tf,NFO,79547,,,,,118.00,38.01,,1745209459,,,,107.16,28908825,,,118.00,118.15,375,375,2025-04-21 09:54:19.285
tf,NFO,79547,,,,,118.90,39.06,,1745209460,,,,,,,,,,,,2025-04-21 09:54:20.125
tf,NFO,79547,,,,,118.80,38.95,,1745209460,,,,,,,,,,,,2025-04-21 09:54:20.587
tf,NFO,79547,,,,,118.85,39.01,,1745209461,,,,107.17,28940775,,,118.75,119.00,,675,2025-04-21 09:54:20.737
tf,NFO,79547,,,,,118.60,38.71,,1745209461,,,,,,,,,,,,2025-04-21 09:54:21.574
tf,NFO,79547,,,,,118.70,38.83,,1745209462,,,,107.18,28956750,,,118.80,119.05,225,450,2025-04-21 09:54:22.483
tf,NFO,79547,,,,,118.10,38.13,,1745209462,,,,,,,,,,,,2025-04-21 09:54:22.671
tf,NFO,79547,,,,,118.85,39.01,,1745209463,,,,,,,,,,,,2025-04-21 09:54:23.565
tf,NFO,79547,,,,,118.65,38.77,,1745209464,,,,,28969800,,,118.65,118.85,,150,2025-04-21 09:54:24.142
tf,NFO,79547,,,,,118.75,38.89,,1745209464,,,,,,,,,,,,2025-04-21 09:54:24.617
tf,NFO,79547,,,,,118.45,38.54,,1745209465,,,,,,,,,,,,2025-04-21 09:54:25.673
tf,NFO,79547,,,,,,,,1745209466,,,,107.19,28977150,,,118.00,118.30,1200,1125,2025-04-21 09:54:25.753
tf,NFO,79547,,,,,118.90,39.06,,1745209466,,,,,,,,,,,,2025-04-21 09:54:26.839
tf,NFO,79547,,,,,118.25,38.30,,1745209467,,,,,28982850,,,118.05,118.35,675,1275,2025-04-21 09:54:27.351
tf,NFO,79547,,,,,117.95,37.95,,1745209467,,,,,,,,,,,,2025-04-21 09:54:27.578
tf,NFO,79547,,,,,117.75,37.72,,1745209468,,,,,,,,,,,,2025-04-21 09:54:28.568
tf,NFO,79547,,,,,118.15,38.19,,1745209469,,,,,28991775,,,,,750,900,2025-04-21 09:54:29.157
tf,NFO,79547,,,,,118.90,39.06,,1745209469,,,,,,,,,,,,2025-04-21 09:54:29.634
tf,NFO,79547,,,,,117.45,37.37,,1745209470,,,,,,,,,,,,2025-04-21 09:54:30.571
tf,NFO,79547,,,,,118.05,38.07,,1745209471,,,,,28997175,,,118.15,118.25,75,150,2025-04-21 09:54:30.754
tf,NFO,79547,,,,,118.30,38.36,,1745209471,,,,,,,,,,,,2025-04-21 09:54:31.615
tf,NFO,79547,,,,,117.95,37.95,,1745209472,,,,107.20,29004750,,,117.80,118.10,450,375,2025-04-21 09:54:32.398
tf,NFO,79547,,,,,118.05,38.07,,1745209472,,,,,,,,,,,,2025-04-21 09:54:32.780
tf,NFO,79547,,,,,117.65,37.60,,1745209473,,,,,,,,,,,,2025-04-21 09:54:33.627
tf,NFO,79547,,,,,118.25,38.30,,1745209474,,,,,29012175,,,118.15,118.25,75,,2025-04-21 09:54:34.191
tf,NFO,79547,,,,,117.50,37.43,,1745209474,,,,,,,,,,,,2025-04-21 09:54:34.621
tf,NFO,79547,,,,,117.70,37.66,,1745209475,,,,,,,,,,,,2025-04-21 09:54:35.735
tf,NFO,79547,,,,,117.75,37.72,,1745209476,,,,,29024475,,,117.55,117.75,,1200,2025-04-21 09:54:35.769
tf,NFO,79547,,,,,118.55,38.65,,1745209476,,,,,,,,,,,,2025-04-21 09:54:36.588
tf,NFO,79547,,,,,118.65,38.77,,1745209477,,,,,29029350,,,118.60,118.85,1350,3075,2025-04-21 09:54:37.365
tf,NFO,79547,,,,,118.25,38.30,,1745209477,,,,,,,,,,,,2025-04-21 09:54:37.618
tf,NFO,79547,,,,,117.75,37.72,,1745209478,,,,,,,,,,,,2025-04-21 09:54:38.711
tf,NFO,79547,,,,,117.90,37.89,,1745209479,,,,107.21,29040225,,,117.80,118.05,1050,375,2025-04-21 09:54:39.055
tf,NFO,79547,,,,,118.75,38.89,,1745209479,,,,,,,,,,,,2025-04-21 09:54:39.581
tf,NFO,79547,,,,,118.65,38.77,,1745209480,,,,,,4233825,,,,,,2025-04-21 09:54:40.577
tf,NFO,79547,,,,,118.50,38.60,,1745209481,,,,,29046825,,,118.50,118.80,2850,450,2025-04-21 09:54:40.775
tf,NFO,79547,,,,,118.65,38.77,,1745209481,,,,,,,,,,,,2025-04-21 09:54:41.580
tf,NFO,79547,,,,,118.75,38.89,,1745209482,,,,107.22,29062800,,,,118.70,75,150,2025-04-21 09:54:42.402
tf,NFO,79547,,,,,118.80,38.95,,1745209482,,,,,,,,,,,,2025-04-21 09:54:42.593
tf,NFO,79547,,,,,117.95,37.95,,1745209483,,,,,,,,,,,,2025-04-21 09:54:43.584
tf,NFO,79547,,,,,117.70,37.66,,1745209484,,,,,29070375,,,117.75,118.00,900,75,2025-04-21 09:54:43.985
tf,NFO,79547,,,,,118.10,38.13,,1745209484,,,,,,,,,,,,2025-04-21 09:54:44.580
tf,NFO,79547,,,,,118.80,38.95,,1745209485,,,,,,,,,,,,2025-04-21 09:54:45.629
tf,NFO,79547,,,,,118.45,38.54,,1745209486,,,,,29079375,,,118.45,118.70,150,300,2025-04-21 09:54:45.782
tf,NFO,79547,,,,,118.40,38.48,,1745209486,,,,,,,,,,,,2025-04-21 09:54:46.688
tf,NFO,79547,,,,,118.65,38.77,,1745209487,,,,107.23,29086200,,,118.70,118.95,375,,2025-04-21 09:54:47.521
tf,NFO,79547,,,,,118.60,38.71,,1745209487,,,,,,,,,,,,2025-04-21 09:54:47.656
tf,NFO,79547,,,,,118.75,38.89,,1745209488,,,,,,,,,,,,2025-04-21 09:54:48.582
tf,NFO,79547,,,,,118.95,39.12,,1745209489,,,,,29097375,,,118.80,119.05,75,525,2025-04-21 09:54:49.026
tf,NFO,79547,,,,,118.80,38.95,,1745209489,,,,,,,,,,,,2025-04-21 09:54:49.582
tf,NFO,79547,,,,,118.95,39.12,,1745209490,,,,,,,,,,,,2025-04-21 09:54:50.585
tf,NFO,79547,,,,,,,,1745209491,,,,,29106375,,,118.70,118.95,1350,150,2025-04-21 09:54:50.791
tf,NFO,79547,,,,,118.65,38.77,,1745209491,,,,,,,,,,,,2025-04-21 09:54:51.587
tf,NFO,79547,,,,,119.20,39.42,,1745209492,,,,107.24,29118300,,,119.25,119.45,1050,,2025-04-21 09:54:52.452
tf,NFO,79547,,,,,119.35,39.59,,1745209492,,,,,,,,,,,,2025-04-21 09:54:52.594
tf,NFO,79547,,,,,119.60,39.88,,1745209493,,,,,,,,,,,,2025-04-21 09:54:53.585
tf,NFO,79547,,,,,119.40,39.65,,1745209494,,,,107.26,29177100,,,119.45,119.70,1800,75,2025-04-21 09:54:54.000
tf,NFO,79547,,,,,120.10,40.47,,1745209494,,,,,,,,,,,,2025-04-21 09:54:54.585
tf,NFO,79547,,,,,119.75,40.06,,1745209495,,,,,,,,,,,,2025-04-21 09:54:55.589
tf,NFO,79547,,,,,119.20,39.42,,1745209496,,,,107.27,29195175,,,119.30,119.60,1275,225,2025-04-21 09:54:55.799
tf,NFO,79547,,,,,119.55,39.82,,1745209496,,,,,,,,,,,,2025-04-21 09:54:56.587
tf,NFO,79547,,,,,119.10,39.30,,1745209497,,,,107.28,29203875,,,118.80,119.05,375,900,2025-04-21 09:54:57.458
tf,NFO,79547,,,,,119.30,39.53,,1745209497,,,,,,,,,,,,2025-04-21 09:54:57.642
tf,NFO,79547,,,,,119.45,39.71,,1745209498,,,,,,,,,,,,2025-04-21 09:54:58.864
tf,NFO,79547,,,,,119.60,39.88,,1745209499,,,,,29217975,,,119.55,119.85,900,1200,2025-04-21 09:54:59.112
tf,NFO,79547,,,,,120.20,40.58,,1745209499,,,,,,,,,,,,2025-04-21 09:54:59.802
tf,NFO,79547,,,,,119.80,40.12,,1745209500,,,,,,,,,,,,2025-04-21 09:55:00.624
tf,NFO,79547,,,,,120.00,40.35,,1745209501,,,,107.29,29242500,,,119.70,119.95,975,375,2025-04-21 09:55:00.809
tf,NFO,79547,,,,,118.80,38.95,,1745209501,,,,,,,,,,,,2025-04-21 09:55:01.601
tf,NFO,79547,,,,,118.50,38.60,,1745209502,,,,107.30,29265750,,,118.45,118.75,1425,75,2025-04-21 09:55:02.416
tf,NFO,79547,,,,,118.90,39.06,,1745209502,,,,,,,,,,,,2025-04-21 09:55:02.592
tf,NFO,79547,,,,,119.00,39.18,,1745209503,,,,,,,,,,,,2025-04-21 09:55:03.590
tf,NFO,79547,,,,,118.60,38.71,,1745209504,,,,107.31,29281050,,,118.50,118.80,825,1950,2025-04-21 09:55:04.031
tf,NFO,79547,,,,,119.55,39.82,,1745209504,,,,,,,,,,,,2025-04-21 09:55:04.590
tf,NFO,79547,,,,,119.90,40.23,,1745209505,,,,,,,,,,,,2025-04-21 09:55:05.761
tf,NFO,79547,,,,,119.80,40.12,,1745209506,,,,,29295375,,,119.55,119.75,900,75,2025-04-21 09:55:05.933
tf,NFO,79547,,,,,119.90,40.23,,1745209506,,,,,,,,,,,,2025-04-21 09:55:06.607
tf,NFO,79547,,,,,119.65,39.94,,1745209507,,,,107.32,29313300,,,119.60,119.85,375,225,2025-04-21 09:55:07.427
tf,NFO,79547,,,,,120.30,40.70,,1745209508,,,,,,,,,,,,2025-04-21 09:55:08.705
tf,NFO,79547,,,,,120.55,40.99,,1745209509,,,,107.33,29326875,,,120.30,120.60,300,1875,2025-04-21 09:55:09.026
tf,NFO,79547,,,,,119.60,39.88,,1745209509,,,,,,,,,,,,2025-04-21 09:55:09.602
tf,NFO,79547,,,,,120.35,40.76,,1745209510,,,,,,,,,,,,2025-04-21 09:55:10.597
tf,NFO,79547,,,,,120.05,40.41,,1745209511,,,,107.34,29348175,,,120.05,120.25,675,75,2025-04-21 09:55:10.828
tf,NFO,79547,,,,,121.00,41.52,,1745209511,,,,,,,,,,,,2025-04-21 09:55:11.598
tf,NFO,79547,,,,,120.10,40.47,,1745209512,,,,107.35,29377650,,,120.00,120.20,150,300,2025-04-21 09:55:12.534
tf,NFO,79547,,,,,120.55,40.99,,1745209512,,,,,,,,,,,,2025-04-21 09:55:12.703
tf,NFO,79547,,,,,120.95,41.46,,1745209513,,,,,,,,,,,,2025-04-21 09:55:13.619
tf,NFO,79547,,,,,121.10,41.64,,1745209514,,,,107.36,29393925,,,120.80,121.10,900,825,2025-04-21 09:55:14.035
tf,NFO,79547,,,,,121.45,42.05,,1745209514,,,,,,,,,,,,2025-04-21 09:55:14.606
tf,NFO,79547,,,,,122.70,43.51,,1745209515,,,,,,,,,,,,2025-04-21 09:55:15.602
tf,NFO,79547,,,,,122.20,42.92,,1745209516,,,,107.40,29470875,,,122.10,122.40,1050,75,2025-04-21 09:55:15.831
