t,e,tk,ts,pp,ls,ti,lp,pc,c,ft,o,h,l,ap,v,oi,poi,bp1,sp1,bq1,sq1,received_timestamp
tk,NFO,79505,NIFTY24APR25C23600,2,75,0.05,448.25,26.34,354.80,1745209402,370.00,466.00,356.30,405.86,1089975,1377300,1615650,448.40,449.60,75,150,2025-04-21 09:53:24.003
tf,NFO,79505,,,,,,,,1745209404,,,,,,,,447.00,448.45,375,,2025-04-21 09:53:24.126
tf,NFO,79505,,,,,446.65,25.89,,1745209406,,,,,1090050,,,445.00,445.70,1200,375,2025-04-21 09:53:25.790
tf,NFO,79505,,,,,445.00,25.42,,1745209406,,,,,,,,,,,,2025-04-21 09:53:26.413
tf,NFO,79505,,,,,,,,1745209407,,,,405.91,1091250,,,444.45,445.40,150,300,2025-04-21 09:53:27.449
tf,NFO,79505,,,,,442.45,24.70,,1745209409,,,,,1091400,,,442.95,444.20,450,75,2025-04-21 09:53:29.156
tf,NFO,79505,,,,,443.10,24.89,,1745209410,,,,,,,,,,,,2025-04-21 09:53:30.145
tf,NFO,79505,,,,,,,,1745209411,,,,,1091475,,,443.30,444.40,75,150,2025-04-21 09:53:30.741
tf,NFO,79505,,,,,445.55,25.58,,1745209412,,,,,,,,,,,,2025-04-21 09:53:31.744
tf,NFO,79505,,,,,445.65,25.61,,1745209412,,,,405.93,1091925,,,443.40,444.60,,,2025-04-21 09:53:32.378
tf,NFO,79505,,,,,,,,1745209414,,,,,,,,442.80,443.85,,,2025-04-21 09:53:34.145
tf,NFO,79505,,,,,444.65,25.32,,1745209414,,,,,,,,,,,,2025-04-21 09:53:34.352
tf,NFO,79505,,,,,,,,1745209416,,,,,1092000,,,443.40,444.45,,75,2025-04-21 09:53:35.757
tf,NFO,79505,,,,,443.60,25.03,,1745209416,,,,,,,,,,,,2025-04-21 09:53:35.948
tf,NFO,79505,,,,,,,,1745209417,,,,405.94,1092075,,,444.00,445.25,,225,2025-04-21 09:53:37.357
tf,NFO,79505,,,,,446.60,25.87,,1745209419,,,,,,,,,,,,2025-04-21 09:53:38.952
tf,NFO,79505,,,,,,,,1745209419,,,,,1092300,,,444.75,445.90,,75,2025-04-21 09:53:39.169
tf,NFO,79505,,,,,445.35,25.52,,1745209419,,,,,,,,,,,,2025-04-21 09:53:39.951
tf,NFO,79505,,,,,446.65,25.89,,1745209420,,,,,,,,,,,,2025-04-21 09:53:40.575
tf,NFO,79505,,,,,,,,1745209421,,,,405.95,1092450,,,447.55,448.95,150,,2025-04-21 09:53:40.784
