t,e,tk,ts,pp,ls,ti,lp,pc,c,ft,o,h,l,ap,v,oi,poi,bp1,sp1,bq1,sq1,received_timestamp
tk,NFO,79513,NIFTY24APR25C23800,2,75,0.05,288.70,32.49,217.90,1745209403,231.95,303.55,219.30,258.56,7431300,3296250,3316200,288.15,288.80,375,525,2025-04-21 09:53:24.016
tf,NFO,79513,,,,,287.30,31.85,,1745209404,,,,,,,,,,,,2025-04-21 09:53:24.271
tf,NFO,79513,,,,,287.05,31.73,,1745209404,,,,258.57,7432650,,,286.80,287.40,900,150,2025-04-21 09:53:24.501
tf,NFO,79513,,,,,287.10,31.76,,1745209405,,,,,,,,,,,,2025-04-21 09:53:25.276
tf,NFO,79513,,,,,285.15,30.86,,1745209406,,,,,,,,,,,,2025-04-21 09:53:26.273
tf,NFO,79513,,,,,,,,1745209406,,,,258.59,7437975,,,285.30,285.95,525,225,2025-04-21 09:53:26.394
tf,NFO,79513,,,,,286.30,31.39,,1745209407,,,,,,,,,,,,2025-04-21 09:53:27.272
tf,NFO,79513,,,,,284.45,30.54,,1745209408,,,,,7440000,,,284.05,284.65,75,375,2025-04-21 09:53:27.911
tf,NFO,79513,,,,,284.00,30.34,,1745209408,,,,,,,,,,,,2025-04-21 09:53:28.272
tf,NFO,79513,,,,,285.30,30.93,,1745209409,,,,,,,,,,,,2025-04-21 09:53:29.364
tf,NFO,79513,,,,,,,,1745209409,,,,258.60,7442025,,,283.95,,600,75,2025-04-21 09:53:29.582
tf,NFO,79513,,,,,285.40,30.98,,1745209410,,,,,,,,,,,,2025-04-21 09:53:30.279
tf,NFO,79513,,,,,285.20,30.89,,1745209411,,,,,,,,,,,,2025-04-21 09:53:31.273
tf,NFO,79513,,,,,,,,1745209411,,,,258.61,7443975,,,285.00,285.60,75,1350,2025-04-21 09:53:31.310
tf,NFO,79513,,,,,286.75,31.60,,1745209412,,,,,,,,,,,,2025-04-21 09:53:32.301
tf,NFO,79513,,,,,283.80,30.24,,1745209413,,,,258.63,7449075,,,283.80,284.45,1125,150,2025-04-21 09:53:32.981
tf,NFO,79513,,,,,283.95,30.31,,1745209414,,,,,,,,,,,,2025-04-21 09:53:34.279
tf,NFO,79513,,,,,285.25,30.91,,1745209414,,,,,7450125,,,285.30,285.90,675,300,2025-04-21 09:53:34.524
tf,NFO,79513,,,,,285.10,30.84,,1745209415,,,,,,,,,,,,2025-04-21 09:53:35.280
tf,NFO,79513,,,,,284.80,30.70,,1745209416,,,,,,,,,,,,2025-04-21 09:53:36.279
tf,NFO,79513,,,,,,,,1745209416,,,,258.64,7453425,,,285.00,285.55,150,150,2025-04-21 09:53:36.317
tf,NFO,79513,,,,,285.15,30.86,,1745209417,,,,,,,,,,,,2025-04-21 09:53:37.301
tf,NFO,79513,,,,,285.35,30.95,,1745209418,,,,258.65,7455825,,,285.20,285.80,,,2025-04-21 09:53:37.920
tf,NFO,79513,,,,,285.60,31.07,,1745209418,,,,,,,,,,,,2025-04-21 09:53:38.280
tf,NFO,79513,,,,,286.45,31.46,,1745209419,,,,,,,,,,,,2025-04-21 09:53:39.371
tf,NFO,79513,,,,,286.35,31.41,,1745209419,,,,258.66,7459725,,,286.20,286.80,225,300,2025-04-21 09:53:39.947
tf,NFO,79513,,,,,287.50,31.94,,1745209420,,,,,,,,,,,,2025-04-21 09:53:40.418
tf,NFO,79513,,,,,288.35,32.33,,1745209421,,,,258.68,7463700,,,288.35,288.95,75,225,2025-04-21 09:53:41.128
tf,NFO,79513,,,,,289.15,32.70,,1745209421,,,,,,,,,,,,2025-04-21 09:53:41.289
tf,NFO,79513,,,,,287.90,32.12,,1745209422,,,,,,,,,,,,2025-04-21 09:53:42.281
tf,NFO,79513,,,,,287.60,31.99,,1745209423,,,,258.69,7466100,,,287.00,287.60,150,525,2025-04-21 09:53:42.928
