t,e,tk,ts,pp,ls,ti,lp,pc,c,ft,o,h,l,ap,v,oi,poi,bp1,sp1,bq1,sq1,received_timestamp
tk,NFO,79516,NIFTY24APR25P23850,2,75,0.05,100.15,-48.01,192.65,1745209404,193.35,193.40,92.20,124.30,11187000,1718025,905175,99.45,99.65,150,600,2025-04-21 09:53:24.020
tf,NFO,79516,,,,,100.35,-47.91,,1745209405,,,,,11188875,,,100.20,100.45,1275,450,2025-04-21 09:53:24.635
tf,NFO,79516,,,,,100.50,-47.83,,1745209405,,,,,,,,,,,,2025-04-21 09:53:24.923
tf,NFO,79516,,,,,101.15,-47.50,,1745209406,,,,,,,,,,,,2025-04-21 09:53:26.043
tf,NFO,79516,,,,,,,,1745209406,,,,,11190075,,,101.00,101.25,1125,750,2025-04-21 09:53:26.234
tf,NFO,79516,,,,,100.75,-47.70,,1745209407,,,,,,,,,,,,2025-04-21 09:53:27.018
tf,NFO,79516,,,,,101.75,-47.18,,1745209408,,,,,,,,,,,,2025-04-21 09:53:28.037
tf,NFO,79516,,,,,101.50,-47.31,,1745209408,,,,124.29,11193600,,,101.55,101.75,375,150,2025-04-21 09:53:28.065
tf,NFO,79516,,,,,101.85,-47.13,,1745209409,,,,,,,,,,,,2025-04-21 09:53:28.922
tf,NFO,79516,,,,,,,,1745209410,,,,124.28,11197650,,,101.75,101.95,,525,2025-04-21 09:53:29.641
tf,NFO,79516,,,,,101.95,-47.08,,1745209410,,,,,,,,,,,,2025-04-21 09:53:29.927
tf,NFO,79516,,,,,101.15,-47.50,,1745209411,,,,,,,,,,,,2025-04-21 09:53:30.925
tf,NFO,79516,,,,,101.55,-47.29,,1745209411,,,,,11199375,,,101.50,101.65,75,675,2025-04-21 09:53:31.242
tf,NFO,79516,,,,,101.20,-47.47,,1745209412,,,,,,,,,,,,2025-04-21 09:53:31.929
tf,NFO,79516,,,,,101.90,-47.11,,1745209413,,,,124.27,11200875,,,102.10,102.30,150,300,2025-04-21 09:53:32.903
tf,NFO,79516,,,,,102.30,-46.90,,1745209413,,,,,,,,,,,,2025-04-21 09:53:32.983
tf,NFO,79516,,,,,102.45,-46.82,,1745209414,,,,,,,,,,,,2025-04-21 09:53:33.972
tf,NFO,79516,,,,,101.75,-47.18,,1745209415,,,,124.26,11205675,,,101.65,101.90,900,450,2025-04-21 09:53:34.645
tf,NFO,79516,,,,,102.25,-46.92,,1745209415,,,,,,,,,,,,2025-04-21 09:53:34.934
tf,NFO,79516,,,,,102.10,-47.00,,1745209416,,,,,,,,,,,,2025-04-21 09:53:35.932
tf,NFO,79516,,,,,101.95,-47.08,,1745209416,,,,,11209350,,,101.75,101.95,300,825,2025-04-21 09:53:36.251
tf,NFO,79516,,,,,101.50,-47.31,,1745209417,,,,,,,,,,,,2025-04-21 09:53:36.931
tf,NFO,79516,,,,,101.75,-47.18,,1745209418,,,,124.25,11211000,,,101.35,101.60,450,525,2025-04-21 09:53:37.851
tf,NFO,79516,,,,,100.80,-47.68,,1745209419,,,,,,,,,,,,2025-04-21 09:53:38.935
tf,NFO,79516,,,,,101.25,-47.44,,1745209420,,,,,11214825,,,100.85,101.05,75,375,2025-04-21 09:53:39.953
tf,NFO,79516,,,,,99.70,-48.25,,1745209421,,,,,,,,,,,,2025-04-21 09:53:40.935
tf,NFO,79516,,,,,99.60,-48.30,,1745209421,,,,124.24,11219025,,,99.40,99.60,,1575,2025-04-21 09:53:41.257
tf,NFO,79516,,,,,100.05,-48.07,,1745209422,,,,,,,,,,,,2025-04-21 09:53:41.935
tf,NFO,79516,,,,,100.15,-48.01,,1745209423,,,,124.23,11221425,,,100.15,100.40,300,1125,2025-04-21 09:53:42.861
tf,NFO,79516,,,,,101.60,-47.26,,1745209424,,,,,,,,,,,,2025-04-21 09:53:43.936
tf,NFO,79516,,,,,100.40,-47.88,,1745209425,,,,,11222100,,,100.35,100.60,750,2175,2025-04-21 09:53:44.668
tf,NFO,79516,,,,,100.35,-47.91,,1745209425,,,,,,,,,,,,2025-04-21 09:53:44.942
tf,NFO,79516,,,,,101.25,-47.44,,1745209426,,,,,,,,,,,,2025-04-21 09:53:46.012
tf,NFO,79516,,,,,101.35,-47.39,,1745209426,,,,124.22,11224725,,,100.95,101.20,,1200,2025-04-21 09:53:46.293
tf,NFO,79516,,,,,101.15,-47.50,,1745209427,,,,,,,,,,,,2025-04-21 09:53:46.940
tf,NFO,79516,,,,,,,,1745209428,,,,,11224950,,,100.75,100.95,225,75,2025-04-21 09:53:47.866
tf,NFO,79516,,,,,101.10,-47.52,,1745209428,,,,,,,,,,,,2025-04-21 09:53:48.143
tf,NFO,79516,,,,,100.75,-47.70,,1745209429,,,,,,,,,,,,2025-04-21 09:53:48.936
tf,NFO,79516,,,,,,,,1745209430,,,,124.21,11229525,,,100.40,100.65,1425,,2025-04-21 09:53:49.665
tf,NFO,79516,,,,,100.65,-47.75,,1745209430,,,,,,,,,,,,2025-04-21 09:53:49.938
tf,NFO,79516,,,,,100.50,-47.83,,1745209431,,,,,11232450,,,100.60,100.80,75,,2025-04-21 09:53:51.272
tf,NFO,79516,,,,,100.40,-47.88,,1745209432,,,,,,,,,,,,2025-04-21 09:53:51.942
tf,NFO,79516,,,,,100.65,-47.75,,1745209433,,,,124.19,11239275,,,100.65,100.90,1275,600,2025-04-21 09:53:52.886
tf,NFO,79516,,,,,100.50,-47.83,,1745209434,,,,,,,,,,,,2025-04-21 09:53:53.967
tf,NFO,79516,,,,,,,,1745209435,,,,,11242725,,,100.40,100.70,1650,1275,2025-04-21 09:53:54.695
tf,NFO,79516,,,,,100.35,-47.91,,1745209435,,,,,,,,,,,,2025-04-21 09:53:55.038
tf,NFO,79516,,,,,100.00,-48.09,,1745209436,,,,,,,,,,,,2025-04-21 09:53:55.941
tf,NFO,79516,,,,,99.85,-48.17,,1745209436,,,,124.18,11245050,,,99.65,99.85,75,75,2025-04-21 09:53:56.280
tf,NFO,79516,,,,,100.15,-48.01,,1745209437,,,,,,,,,,,,2025-04-21 09:53:56.940
tf,NFO,79516,,,,,100.75,-47.70,,1745209438,,,,,11247225,,,100.30,100.55,1125,825,2025-04-21 09:53:57.882
tf,NFO,79516,,,,,99.60,-48.30,,1745209439,,,,,,,,,,,,2025-04-21 09:53:58.977
tf,NFO,79516,,,,,99.05,-48.59,,1745209440,,,,124.17,11248950,,,99.00,99.15,1200,,2025-04-21 09:53:59.782
tf,NFO,79516,,,,,99.00,-48.61,,1745209440,,,,,,,,,,,,2025-04-21 09:53:59.986
tf,NFO,79516,,,,,99.40,-48.40,,1745209441,,,,,,,,,,,,2025-04-21 09:54:01.026
tf,NFO,79516,,,,,99.75,-48.22,,1745209441,,,,,11252100,,,99.90,100.15,600,1500,2025-04-21 09:54:01.293
tf,NFO,79516,,,,,99.85,-48.17,,1745209442,,,,,,,,,,,,2025-04-21 09:54:02.028
tf,NFO,79516,,,,,99.10,-48.56,,1745209443,,,,124.16,11255850,,,99.00,99.25,2025,150,2025-04-21 09:54:02.890
tf,NFO,79516,,,,,99.90,-48.14,,1745209444,,,,,,,,,,,,2025-04-21 09:54:03.963
tf,NFO,79516,,,,,99.55,-48.33,,1745209445,,,,124.15,11258475,,,99.70,99.90,1275,750,2025-04-21 09:54:04.691
tf,NFO,79516,,,,,100.00,-48.09,,1745209445,,,,,,,,,,,,2025-04-21 09:54:04.953
tf,NFO,79516,,,,,100.70,-47.73,,1745209446,,,,,,,,,,,,2025-04-21 09:54:05.955
tf,NFO,79516,,,,,,,,1745209446,,,,,11260650,,,100.70,100.95,1500,525,2025-04-21 09:54:06.347
tf,NFO,79516,,,,,100.65,-47.75,,1745209447,,,,,,,,,,,,2025-04-21 09:54:06.950
tf,NFO,79516,,,,,99.45,-48.38,,1745209448,,,,124.14,11263725,,,99.25,99.50,525,1050,2025-04-21 09:54:07.895
