t,e,tk,ts,pp,ls,ti,lp,pc,c,ft,o,h,l,ap,v,oi,poi,bp1,sp1,bq1,sq1,received_timestamp
tk,NFO,79515,NIFTY24APR25C23850,2,75,0.05,253.15,33.13,190.15,1745209404,220.00,267.50,190.70,224.79,5416650,985575,1005600,253.65,254.25,300,450,2025-04-21 09:53:24.018
tf,NFO,79515,,,,,252.70,32.90,,1745209405,,,,224.80,5419050,,,252.00,252.50,225,75,2025-04-21 09:53:24.640
tf,NFO,79515,,,,,251.70,32.37,,1745209405,,,,,,,,,,,,2025-04-21 09:53:24.927
tf,NFO,79515,,,,,250.85,31.92,,1745209406,,,,,,,,,,,,2025-04-21 09:53:26.044
tf,NFO,79515,,,,,250.55,31.76,,1745209406,,,,,5419950,,,250.40,250.95,600,150,2025-04-21 09:53:26.444
tf,NFO,79515,,,,,251.30,32.16,,1745209407,,,,,,,,,,,,2025-04-21 09:53:27.029
tf,NFO,79515,,,,,249.90,31.42,,1745209408,,,,,,,,,,,,2025-04-21 09:53:28.038
tf,NFO,79515,,,,,249.50,31.21,,1745209408,,,,224.82,5423175,,,249.40,249.90,525,2100,2025-04-21 09:53:28.067
tf,NFO,79515,,,,,249.75,31.34,,1745209409,,,,,,,,,,,,2025-04-21 09:53:28.923
tf,NFO,79515,,,,,249.65,31.29,,1745209410,,,,224.83,5425650,,,249.60,250.20,825,450,2025-04-21 09:53:29.646
tf,NFO,79515,,,,,249.35,31.13,,1745209410,,,,,,,,,,,,2025-04-21 09:53:29.936
tf,NFO,79515,,,,,250.50,31.74,,1745209411,,,,,,,,,,,,2025-04-21 09:53:30.927
tf,NFO,79515,,,,,,,,1745209411,,,,224.84,5427150,,,250.65,251.20,,375,2025-04-21 09:53:31.251
tf,NFO,79515,,,,,251.25,32.13,,1745209412,,,,,,,,,,,,2025-04-21 09:53:31.930
tf,NFO,79515,,,,,250.00,31.48,,1745209413,,,,,,,,,,,,2025-04-21 09:53:32.986
tf,NFO,79515,,,,,,,,1745209413,,,,,5427900,,,249.25,249.80,225,,2025-04-21 09:53:33.080
tf,NFO,79515,,,,,249.70,31.32,,1745209414,,,,,,,,,,,,2025-04-21 09:53:33.978
tf,NFO,79515,,,,,251.10,32.05,,1745209415,,,,,5428350,,,250.80,251.30,75,150,2025-04-21 09:53:34.648
tf,NFO,79515,,,,,250.90,31.95,,1745209415,,,,,,,,,,,,2025-04-21 09:53:34.935
tf,NFO,79515,,,,,250.65,31.82,,1745209416,,,,,,,,,,,,2025-04-21 09:53:35.937
tf,NFO,79515,,,,,250.90,31.95,,1745209416,,,,224.85,5429250,,,250.30,250.85,450,750,2025-04-21 09:53:36.255
tf,NFO,79515,,,,,250.95,31.97,,1745209417,,,,,,,,,,,,2025-04-21 09:53:36.932
tf,NFO,79515,,,,,250.65,31.82,,1745209418,,,,,,,,,,,,2025-04-21 09:53:37.949
tf,NFO,79515,,,,,,,,1745209418,,,,,5430375,,,251.00,251.45,75,225,2025-04-21 09:53:38.051
tf,NFO,79515,,,,,251.85,32.45,,1745209419,,,,,,,,,,,,2025-04-21 09:53:38.941
tf,NFO,79515,,,,,,,,1745209420,,,,224.86,5431650,,,252.00,252.55,300,75,2025-04-21 09:53:39.954
tf,NFO,79515,,,,,251.90,32.47,,1745209420,,,,,,,,,,,,2025-04-21 09:53:40.153
tf,NFO,79515,,,,,253.05,33.08,,1745209421,,,,,,,,,,,,2025-04-21 09:53:40.937
tf,NFO,79515,,,,,254.00,33.58,,1745209421,,,,,5433000,,,253.75,254.30,,225,2025-04-21 09:53:41.264
tf,NFO,79515,,,,,253.85,33.50,,1745209422,,,,,,,,,,,,2025-04-21 09:53:41.936
tf,NFO,79515,,,,,253.00,33.05,,1745209423,,,,,,,,,,,,2025-04-21 09:53:42.955
tf,NFO,79515,,,,,,,,1745209423,,,,224.88,5435700,,,251.70,252.30,150,75,2025-04-21 09:53:43.057
tf,NFO,79515,,,,,251.00,32.00,,1745209424,,,,,,,,,,,,2025-04-21 09:53:43.937
tf,NFO,79515,,,,,253.10,33.11,,1745209425,,,,,5436450,,,252.60,253.20,525,525,2025-04-21 09:53:44.672
tf,NFO,79515,,,,,252.50,32.79,,1745209425,,,,,,,,,,,,2025-04-21 09:53:44.943
tf,NFO,79515,,,,,250.80,31.90,,1745209426,,,,,,,,,,,,2025-04-21 09:53:46.015
tf,NFO,79515,,,,,,,,1745209426,,,,224.89,5437050,,,251.20,251.80,450,750,2025-04-21 09:53:46.330
tf,NFO,79515,,,,,251.10,32.05,,1745209427,,,,,,,,,,,,2025-04-21 09:53:46.943
