t,e,tk,ts,pp,ls,ti,lp,pc,c,ft,o,h,l,ap,v,oi,poi,bp1,sp1,bq1,sq1,received_timestamp
tk,NFO,79518,NIFTY24APR25P23900,2,75,0.05,117.65,-45.66,216.50,1745209404,200.00,213.35,108.00,144.22,24492600,3897375,876975,117.65,117.95,825,600,2025-04-21 09:53:24.023
tf,NFO,79518,,,,,117.60,-45.68,,1745209404,,,,,,,,,,,,2025-04-21 09:53:24.478
tf,NFO,79518,,,,,118.15,-45.43,,1745209405,,,,144.21,24505800,,,117.90,118.20,1125,1200,2025-04-21 09:53:25.392
tf,NFO,79518,,,,,118.75,-45.15,,1745209406,,,,,,,,,,,,2025-04-21 09:53:26.678
tf,NFO,79518,,,,,118.25,-45.38,,1745209407,,,,144.20,24509175,,,118.15,118.40,675,300,2025-04-21 09:53:27.046
tf,NFO,79518,,,,,118.55,-45.24,,1745209407,,,,,,,,,,,,2025-04-21 09:53:27.483
tf,NFO,79518,,,,,119.60,-44.76,,1745209408,,,,,,,,,,,,2025-04-21 09:53:28.487
tf,NFO,79518,,,,,119.80,-44.67,,1745209409,,,,,24516225,,,119.55,119.80,300,525,2025-04-21 09:53:28.854
tf,NFO,79518,,,,,119.85,-44.64,,1745209409,,,,,,,,,,,,2025-04-21 09:53:29.580
tf,NFO,79518,,,,,119.20,-44.94,,1745209410,,,,144.19,24521100,,,118.65,118.90,450,75,2025-04-21 09:53:30.401
tf,NFO,79518,,,,,118.95,-45.06,,1745209411,,,,,,,,,,,,2025-04-21 09:53:31.484
tf,NFO,79518,,,,,118.65,-45.20,,1745209412,,,,144.18,24535275,,,118.35,118.60,525,825,2025-04-21 09:53:32.003
tf,NFO,79518,,,,,119.65,-44.73,,1745209412,,,,,,,,,,,,2025-04-21 09:53:32.563
tf,NFO,79518,,,,,119.70,-44.71,,1745209413,,,,,,,,,,,,2025-04-21 09:53:33.562
