t,e,tk,ts,pp,ls,ti,lp,pc,c,ft,o,h,l,ap,v,oi,poi,bp1,sp1,bq1,sq1,received_timestamp
tk,NFO,79640,NIFTY24APR25C24500,2,75,0.05,26.60,28.50,20.70,1745209403,14.70,29.35,14.70,24.13,23478525,7691700,5522175,26.45,26.55,2175,1275,2025-04-21 09:53:24.056
tf,NFO,79640,,,,,26.30,27.05,,1745209404,,,,,,,,,,,,2025-04-21 09:53:24.269
tf,NFO,79640,,,,,26.40,27.54,,1745209405,,,,,23495250,,,26.20,26.35,3975,2775,2025-04-21 09:53:24.700
tf,NFO,79640,,,,,26.25,26.81,,1745209405,,,,,,,,,,,,2025-04-21 09:53:25.273
tf,NFO,79640,,,,,26.10,26.09,,1745209406,,,,,,,,,,,,2025-04-21 09:53:26.271
tf,NFO,79640,,,,,,,,1745209406,,,,,23510700,,,26.10,26.15,225,1500,2025-04-21 09:53:26.402
tf,NFO,79640,,,,,26.15,26.33,,1745209407,,,,,,,,,,,,2025-04-21 09:53:27.269
tf,NFO,79640,,,,,25.95,25.36,,1745209408,,,,,23534025,,,25.90,26.00,2175,3150,2025-04-21 09:53:28.109
tf,NFO,79640,,,,,26.00,25.60,,1745209408,,,,,,,,,,,,2025-04-21 09:53:28.270
tf,NFO,79640,,,,,26.10,26.09,,1745209409,,,,,,,,,,,,2025-04-21 09:53:29.361
tf,NFO,79640,,,,,26.05,25.85,,1745209410,,,,,23540325,,,26.05,26.10,600,1050,2025-04-21 09:53:29.714
tf,NFO,79640,,,,,26.10,26.09,,1745209410,,,,,,,,,,,,2025-04-21 09:53:30.275
tf,NFO,79640,,,,,,,,1745209411,,,,,23545350,,,,26.15,1350,4275,2025-04-21 09:53:31.313
tf,NFO,79640,,,,,26.25,26.81,,1745209412,,,,,,,,,,,,2025-04-21 09:53:32.277
tf,NFO,79640,,,,,26.10,26.09,,1745209413,,,,24.14,23552700,,,26.00,26.10,2850,3075,2025-04-21 09:53:33.139
tf,NFO,79640,,,,,26.35,27.29,,1745209414,,,,,,,,,,,,2025-04-21 09:53:34.276
tf,NFO,79640,,,,,26.30,27.05,,1745209415,,,,,23556300,,,26.25,26.30,75,2400,2025-04-21 09:53:34.715
tf,NFO,79640,,,,,26.15,26.33,,1745209415,,,,,,,,,,,,2025-04-21 09:53:35.277
tf,NFO,79640,,,,,26.10,26.09,,1745209416,,,,,,,,,,,,2025-04-21 09:53:36.273
tf,NFO,79640,,,,,26.20,26.57,,1745209416,,,,,23557875,,,26.10,26.20,2475,4500,2025-04-21 09:53:36.319
tf,NFO,79640,,,,,26.35,27.29,,1745209417,,,,,,,,,,,,2025-04-21 09:53:37.274
tf,NFO,79640,,,,,26.20,26.57,,1745209418,,,,,23561925,,,26.15,26.25,3750,1725,2025-04-21 09:53:37.928
tf,NFO,79640,,,,,26.25,26.81,,1745209418,,,,,,,,,,,,2025-04-21 09:53:38.277
tf,NFO,79640,,,,,26.40,27.54,,1745209419,,,,,,,,,,,,2025-04-21 09:53:39.291
tf,NFO,79640,,,,,26.45,27.78,,1745209420,,,,,23565300,,,26.35,26.45,1650,3375,2025-04-21 09:53:39.957
tf,NFO,79640,,,,,26.50,28.02,,1745209420,,,,,,,,,,,,2025-04-21 09:53:40.348
tf,NFO,79640,,,,,26.55,28.26,,1745209421,,,,,,,,,,,,2025-04-21 09:53:41.286
tf,NFO,79640,,,,,26.45,27.78,,1745209421,,,,,23581350,,,26.45,26.55,2325,3075,2025-04-21 09:53:41.326
tf,NFO,79640,,,,,26.30,27.05,,1745209422,,,,,,,,,,,,2025-04-21 09:53:42.280
tf,NFO,79640,,,,,,,,1745209423,,,,,23584650,,,26.30,26.35,1500,300,2025-04-21 09:53:42.954
tf,NFO,79640,,,,,26.20,26.57,,1745209423,,,,,,,,,,,,2025-04-21 09:53:43.278
tf,NFO,79640,,,,,26.35,27.29,,1745209424,,,,,,,,,,,,2025-04-21 09:53:44.286
tf,NFO,79640,,,,,26.45,27.78,,1745209425,,,,,23600025,,,26.35,26.45,2925,2175,2025-04-21 09:53:44.729
tf,NFO,79640,,,,,26.40,27.54,,1745209425,,,,,,,,,,,,2025-04-21 09:53:45.283
tf,NFO,79640,,,,,26.30,27.05,,1745209426,,,,,,,,,,,,2025-04-21 09:53:46.331
tf,NFO,79640,,,,,,,,1745209426,,,,,23602200,,,26.20,26.25,5925,3375,2025-04-21 09:53:46.333
tf,NFO,79640,,,,,,,,1745209428,,,,,23604525,,,26.30,26.40,2250,3675,2025-04-21 09:53:47.944
tf,NFO,79640,,,,,26.45,27.78,,1745209429,,,,,,,,,,,,2025-04-21 09:53:49.288
tf,NFO,79640,,,,,26.40,27.54,,1745209430,,,,,23606700,,,26.40,26.45,2475,150,2025-04-21 09:53:49.737
tf,NFO,79640,,,,,26.30,27.05,,1745209430,,,,,,,,,,,,2025-04-21 09:53:50.290
tf,NFO,79640,,,,,26.35,27.29,,1745209431,,,,,,,,,,,,2025-04-21 09:53:51.293
tf,NFO,79640,,,,,,,,1745209431,,,,,23615175,,,26.25,26.35,1800,2175,2025-04-21 09:53:51.339
tf,NFO,79640,,,,,26.40,27.54,,1745209432,,,,,,,,,,,,2025-04-21 09:53:52.412
tf,NFO,79640,,,,,26.25,26.81,,1745209433,,,,,23620425,,,26.20,26.30,2175,3750,2025-04-21 09:53:53.063
tf,NFO,79640,,,,,26.20,26.57,,1745209433,,,,,,,,,,,,2025-04-21 09:53:53.289
tf,NFO,79640,,,,,26.15,26.33,,1745209435,,,,,23626575,,,26.15,26.20,1425,450,2025-04-21 09:53:54.766
tf,NFO,79640,,,,,26.10,26.09,,1745209435,,,,,,,,,,,,2025-04-21 09:53:55.350
tf,NFO,79640,,,,,26.35,27.29,,1745209436,,,,,,,,,,,,2025-04-21 09:53:56.348
tf,NFO,79640,,,,,,,,1745209436,,,,,23631525,,,26.20,26.25,225,,2025-04-21 09:53:56.354
tf,NFO,79640,,,,,26.00,25.60,,1745209437,,,,,,,,,,,,2025-04-21 09:53:57.297
tf,NFO,79640,,,,,26.05,25.85,,1745209438,,,,,23653275,,,26.05,26.10,1650,525,2025-04-21 09:53:57.966
tf,NFO,79640,,,,,26.15,26.33,,1745209438,,,,,,,,,,,,2025-04-21 09:53:58.290
tf,NFO,79640,,,,,26.25,26.81,,1745209439,,,,,,,,,,,,2025-04-21 09:53:59.311
tf,NFO,79640,,,,,26.30,27.05,,1745209440,,,,,23658900,,,26.20,26.30,2175,3075,2025-04-21 09:53:59.837
tf,NFO,79640,,,,,26.10,26.09,,1745209440,,,,,,,,,,,,2025-04-21 09:54:00.394
tf,NFO,79640,,,,,26.15,26.33,,1745209441,,,,,,,,,,,,2025-04-21 09:54:01.452
tf,NFO,79640,,,,,,,,1745209441,,,,,23662950,,,26.10,26.20,2025,5700,2025-04-21 09:54:01.453
tf,NFO,79640,,,,,26.30,27.05,,1745209442,,,,,,,,,,,,2025-04-21 09:54:02.306
tf,NFO,79640,,,,,26.20,26.57,,1745209443,,,,24.15,23669100,,,26.15,26.25,4200,1575,2025-04-21 09:54:02.977
tf,NFO,79640,,,,,26.15,26.33,,1745209443,,,,,,,,,,,,2025-04-21 09:54:03.296
tf,NFO,79640,,,,,26.10,26.09,,1745209444,,,,,,,,,,,,2025-04-21 09:54:04.311
tf,NFO,79640,,,,,26.15,26.33,,1745209445,,,,,23676675,,,26.05,26.15,5325,375,2025-04-21 09:54:04.758
tf,NFO,79640,,,,,26.00,25.60,,1745209446,,,,,,,,,,,,2025-04-21 09:54:06.377
tf,NFO,79640,,,,,26.05,25.85,,1745209446,,,,,23683425,,,25.95,26.05,3825,2100,2025-04-21 09:54:06.377
tf,NFO,79640,,,,,26.15,26.33,,1745209447,,,,,,,,,,,,2025-04-21 09:54:07.299
tf,NFO,79640,,,,,26.20,26.57,,1745209448,,,,,23686425,,,26.20,26.25,450,1500,2025-04-21 09:54:07.963
tf,NFO,79640,,,,,26.30,27.05,,1745209448,,,,,,,,,,,,2025-04-21 09:54:08.301
tf,NFO,79640,,,,,26.05,25.85,,1745209449,,,,,,,,,,,,2025-04-21 09:54:09.308
tf,NFO,79640,,,,,26.20,26.57,,1745209449,,,,,23691900,,,,,1350,225,2025-04-21 09:54:09.574
tf,NFO,79640,,,,,26.05,25.85,,1745209451,,,,,,,,,,,,2025-04-21 09:54:11.299
tf,NFO,79640,,,,,,,,1745209451,,,,,23696850,,,26.10,26.20,2475,3000,2025-04-21 09:54:11.369
tf,NFO,79640,,,,,26.10,26.09,,1745209452,,,,,,,,,,,,2025-04-21 09:54:12.308
tf,NFO,79640,,,,,25.90,25.12,,1745209453,,,,,23697975,,,25.85,25.95,1425,3225,2025-04-21 09:54:13.111
tf,NFO,79640,,,,,25.95,25.36,,1745209453,,,,,,,,,,,,2025-04-21 09:54:13.324
tf,NFO,79640,,,,,26.00,25.60,,1745209454,,,,,23701875,,,25.95,26.05,2625,2025,2025-04-21 09:54:14.576
tf,NFO,79640,,,,,26.05,25.85,,1745209456,,,,,,,,,,,,2025-04-21 09:54:16.301
tf,NFO,79640,,,,,,,,1745209456,,,,,23706600,,,26.10,26.20,3000,1425,2025-04-21 09:54:16.382
tf,NFO,79640,,,,,26.20,26.57,,1745209457,,,,,,,,,,,,2025-04-21 09:54:17.421
tf,NFO,79640,,,,,26.10,26.09,,1745209458,,,,,23708325,,,,,1350,3225,2025-04-21 09:54:18.040
tf,NFO,79640,,,,,26.25,26.81,,1745209458,,,,,,,,,,,,2025-04-21 09:54:18.362
tf,NFO,79640,,,,,26.30,27.05,,1745209459,,,,,,,,,,,,2025-04-21 09:54:20.059
tf,NFO,79640,,,,,26.45,27.78,,1745209459,,,,,23728350,,,26.40,26.50,2625,2325,2025-04-21 09:54:20.104
tf,NFO,79640,,,,,26.40,27.54,,1745209460,,,,,,,,,,,,2025-04-21 09:54:20.349
tf,NFO,79640,,,,,26.45,27.78,,1745209461,,,,,23732925,,,26.35,26.45,3375,2700,2025-04-21 09:54:21.374
tf,NFO,79640,,,,,26.20,26.57,,1745209463,,,,,23736375,,,26.20,26.30,3150,2025,2025-04-21 09:54:22.794
tf,NFO,79640,,,,,26.35,27.29,,1745209463,,,,,,,,,,,,2025-04-21 09:54:23.307
tf,NFO,79640,,,,,26.30,27.05,,1745209464,,,,,,,,,,,,2025-04-21 09:54:24.311
tf,NFO,79640,,,,,,,,1745209464,,,,,23741250,,,26.25,26.35,675,3600,2025-04-21 09:54:24.620
tf,NFO,79640,,,,,26.35,27.29,,1745209465,,,,,,,,,,,,2025-04-21 09:54:25.431
tf,NFO,79640,,,,,26.20,26.57,,1745209466,,,,,23743425,,,26.15,26.20,450,600,2025-04-21 09:54:26.404
tf,NFO,79640,,,,,26.15,26.33,,1745209466,,,,,,,,,,,,2025-04-21 09:54:26.408
tf,NFO,79640,,,,,26.30,27.05,,1745209467,,,,,,,,,,,,2025-04-21 09:54:27.342
tf,NFO,79640,,,,,26.10,26.09,,1745209468,,,,,23747100,,,26.05,26.10,1650,375,2025-04-21 09:54:27.799
tf,NFO,79640,,,,,26.20,26.57,,1745209468,,,,,,,,,,,,2025-04-21 09:54:28.366
tf,NFO,79640,,,,,26.15,26.33,,1745209469,,,,,,,,,,,,2025-04-21 09:54:29.313
tf,NFO,79640,,,,,26.30,27.05,,1745209469,,,,,23753025,,,26.25,26.35,3300,1425,2025-04-21 09:54:29.639
tf,NFO,79640,,,,,26.15,26.33,,1745209470,,,,,,,,,,,,2025-04-21 09:54:30.489
tf,NFO,79640,,,,,26.20,26.57,,1745209471,,,,,23756700,,,26.10,26.20,3750,1050,2025-04-21 09:54:31.200
tf,NFO,79640,,,,,26.05,25.85,,1745209472,,,,,,,,,,,,2025-04-21 09:54:32.398
tf,NFO,79640,,,,,26.10,26.09,,1745209473,,,,,23761800,,,26.00,26.10,6825,2700,2025-04-21 09:54:32.958
tf,NFO,79640,,,,,26.05,25.85,,1745209473,,,,,,,,,,,,2025-04-21 09:54:33.438
tf,NFO,79640,,,,,26.30,27.05,,1745209474,,,,,,,,,,,,2025-04-21 09:54:34.413
tf,NFO,79640,,,,,26.20,26.57,,1745209474,,,,,23766600,,,26.15,26.20,600,1125,2025-04-21 09:54:34.417
tf,NFO,79640,,,,,26.15,26.33,,1745209475,,,,,,,,,,,,2025-04-21 09:54:35.460
tf,NFO,79640,,,,,26.10,26.09,,1745209476,,,,,23770875,,,26.05,26.15,2250,4275,2025-04-21 09:54:36.011
tf,NFO,79640,,,,,26.15,26.33,,1745209476,,,,,,,,,,,,2025-04-21 09:54:36.320
tf,NFO,79640,,,,,26.35,27.29,,1745209477,,,,,,,,,,,,2025-04-21 09:54:37.344
tf,NFO,79640,,,,,26.05,25.85,,1745209478,,,,,23776425,,,26.00,26.10,6150,1275,2025-04-21 09:54:37.842
tf,NFO,79640,,,,,26.15,26.33,,1745209478,,,,,,7884150,,,,,,2025-04-21 09:54:38.350
tf,NFO,79640,,,,,26.25,26.81,,1745209479,,,,,,,,,,,,2025-04-21 09:54:39.369
tf,NFO,79640,,,,,,,,1745209479,,,,24.16,23780025,,,26.15,26.25,3300,1125,2025-04-21 09:54:39.555
tf,NFO,79640,,,,,26.15,26.33,,1745209480,,,,,,,,,,,,2025-04-21 09:54:40.332
tf,NFO,79640,,,,,26.10,26.09,,1745209481,,,,,23781450,,,26.10,26.20,1950,3375,2025-04-21 09:54:41.020
tf,NFO,79640,,,,,26.25,26.81,,1745209481,,,,,,,,,,,,2025-04-21 09:54:41.324
tf,NFO,79640,,,,,,,,1745209483,,,,,23789625,,,26.20,26.25,1800,300,2025-04-21 09:54:42.816
tf,NFO,79640,,,,,26.15,26.33,,1745209483,,,,,,,,,,,,2025-04-21 09:54:43.335
tf,NFO,79640,,,,,26.10,26.09,,1745209484,,,,,23792175,,,26.10,26.20,2475,4725,2025-04-21 09:54:44.428
tf,NFO,79640,,,,,26.20,26.57,,1745209485,,,,,,,,,,,,2025-04-21 09:54:45.454
tf,NFO,79640,,,,,26.30,27.05,,1745209486,,,,,23793000,,,26.20,26.30,4425,4800,2025-04-21 09:54:46.091
tf,NFO,79640,,,,,26.35,27.29,,1745209488,,,,,23799150,,,26.25,,675,1050,2025-04-21 09:54:47.829
tf,NFO,79640,,,,,,,,1745209489,,,,,23806800,,,26.30,26.40,2250,2100,2025-04-21 09:54:49.432
tf,NFO,79640,,,,,26.25,26.81,,1745209490,,,,,,,,,,,,2025-04-21 09:54:50.323
tf,NFO,79640,,,,,,,,1745209491,,,,,23808750,,,,26.35,2025,225,2025-04-21 09:54:51.039
tf,NFO,79640,,,,,26.35,27.29,,1745209491,,,,,,,,,,,,2025-04-21 09:54:51.326
tf,NFO,79640,,,,,26.45,27.78,,1745209492,,,,,,,,,,,,2025-04-21 09:54:52.384
tf,NFO,79640,,,,,26.50,28.02,,1745209493,,,,,23821425,,,26.50,26.60,2325,2925,2025-04-21 09:54:52.831
tf,NFO,79640,,,,,26.60,28.50,,1745209493,,,,,,,,,,,,2025-04-21 09:54:53.446
tf,NFO,79640,,,,,26.55,28.26,,1745209494,,,,,,,,,,,,2025-04-21 09:54:54.327
tf,NFO,79640,,,,,,,,1745209494,,,,,23832375,,,26.55,26.65,3000,2100,2025-04-21 09:54:54.451
tf,NFO,79640,,,,,26.60,28.50,,1745209495,,,,,,,,,,,,2025-04-21 09:54:55.333
tf,NFO,79640,,,,,26.40,27.54,,1745209496,,,,,23837850,,,26.40,26.50,4125,1125,2025-04-21 09:54:56.039
tf,NFO,79640,,,,,26.60,28.50,,1745209496,,,,,,,,,,,,2025-04-21 09:54:56.330
tf,NFO,79640,,,,,26.45,27.78,,1745209497,,,,,,,,,,,,2025-04-21 09:54:57.377
tf,NFO,79640,,,,,26.50,28.02,,1745209498,,,,,23844000,,,,,5175,1650,2025-04-21 09:54:57.889
tf,NFO,79640,,,,,26.65,28.74,,1745209498,,,,,,,,,,,,2025-04-21 09:54:58.586
tf,NFO,79640,,,,,26.60,28.50,,1745209499,,,,,,,,,,,,2025-04-21 09:54:59.443
tf,NFO,79640,,,,,,,,1745209499,,,,,23849175,,,26.60,26.70,2250,2775,2025-04-21 09:54:59.799
tf,NFO,79640,,,,,26.55,28.26,,1745209500,,,,,,,,,,,,2025-04-21 09:55:00.330
tf,NFO,79640,,,,,26.45,27.78,,1745209501,,,,,23865300,,,26.50,26.55,3375,75,2025-04-21 09:55:01.045
tf,NFO,79640,,,,,26.30,27.05,,1745209502,,,,,,,,,,,,2025-04-21 09:55:02.332
